source_family,source_record_id,person_raw,office_raw,start_raw,end_raw,party_raw,link_basis,service_ids,inclusion_states,affiliation_ids,decision_ids
atlas,atlas-line-508,Miguel Rossetto,Trabalho e Previdência Social,05/10/2015,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-70;service-dilma_rousseff-1-73,true:titular,affiliation-813232b2bc21;affiliation-c877e5cc140e,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-509,Arthur Chioro,Saúde,01/01/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-68,true:titular,affiliation-72fe9140fcd2,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-510,Marcelo Castro,Saúde,05/10/2015,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-69,true:titular,affiliation-6ad626a70e58;affiliation-92273432096c;affiliation-d578fe137ca4,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-511,Marcelo Castro,Saúde,31/03/2016,11/05/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-69,true:titular,affiliation-6ad626a70e58;affiliation-92273432096c;affiliation-d578fe137ca4,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-512,Armando Monteiro,"Desenvolvimento, Indústria e Comércio",01/01/2015,16/03/2016,PTB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-34,true:titular,affiliation-94a20845e40f;affiliation-a4eb3d8313a7,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-513,Armando Monteiro,"Desenvolvimento, Indústria e Comércio",17/03/2016,12/05/2016,PTB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-34,true:titular,affiliation-94a20845e40f;affiliation-a4eb3d8313a7,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-514,Eduardo Braga,Minas e Energia,01/01/2015,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-56,true:titular,affiliation-71a21ce067a9;affiliation-7560fcd88f19,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-515,Eduardo Braga,Minas e Energia,31/03/2016,22/04/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-56,true:titular,affiliation-71a21ce067a9;affiliation-7560fcd88f19,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-516,Nelson Barbosa,"Planejamento, Orçamento e Gestão",01/01/2015,21/12/2015,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-46;service-dilma_rousseff-1-59,true:titular,affiliation-627c24007baa;affiliation-bbe72215419d;affiliation-f6f095f8698d,C030;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-517,Valdir Simão,"Planejamento, Orçamento e Gestão",21/12/2015,12/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-25;service-dilma_rousseff-1-60,true:titular,affiliation-70dd8e5afcf8;affiliation-da12fa7641e8,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-518,Gilberto Occhi,Integração Nacional,01/01/2015,13/04/2016,PP,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-49,true:titular,affiliation-425de9b86c8c;affiliation-eb8404d6b3ec,PERSON-CONTINUITY-REVIEW;R03
atlas,atlas-line-519,Ricardo Berzoini,Comunicações,01/01/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-23;service-dilma_rousseff-1-71;service-dilma_rousseff-1-71-pre-transform,false:non_entry;true:titular,affiliation-4b873e91cdd8;affiliation-7af3673c6018,C024;C032;OFF-005;OFF-006;OFF-007;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-520,André Figueiredo,Comunicações,05/10/2015,12/05/2016,PDT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-24,true:titular,affiliation-80b6aeb3505e;affiliation-f8a6b0559344,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-521,Carlos Eduardo Gabas,Previdência Social,01/01/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-65;service-f6b7136b576a,true:titular,affiliation-178c65b3baec;affiliation-3fe827923a90,C024;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-522,Izabella Teixeira,Meio Ambiente,01/01/2015,12/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-54,true:titular,affiliation-af9da88352fc,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-523,Aldo Rebelo,"Ciência, Tecnologia e Inovação",01/01/2015,05/10/2015,PCdoB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-16;service-dilma_rousseff-1-30,true:titular,affiliation-2695219a6106;affiliation-e0a60b031086,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-524,Celso Pansera,"Ciência, Tecnologia e Inovação",05/10/2015,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-17,true:titular,affiliation-1f505a8145c2;affiliation-30697884737b;affiliation-6d9fedcf0916,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-525,Celso Pansera,"Ciência, Tecnologia e Inovação",31/03/2016,14/04/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-17,true:titular,affiliation-1f505a8145c2;affiliation-30697884737b;affiliation-6d9fedcf0916,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-526,Juca Ferreira,Cultura,01/01/2015,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-28,true:titular,affiliation-7dc2db2ea744,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-527,Patrus Ananias,Desenvolvimento Agrário,01/01/2015,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-31;service-dilma_rousseff-1-33,true:titular,affiliation-17032a771737;affiliation-893e7cb6ee58,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-528,Tereza Campello,Desenvolvimento Social e Combate à Fome,01/01/2015,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-35,true:titular,affiliation-e4422f7ef01f,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-529,George Hilton,Esporte,01/01/2015,30/03/2016,PRB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-43,true:titular,affiliation-1e430540f85f;affiliation-634e3f7dfa5f,PERSON-CONTINUITY-REVIEW;R02
atlas,atlas-line-530,Ricardo Leyser (interino),Esporte,31/03/2016,12/05/2016,PCdoB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-44,true:titular,affiliation-edc82d3745eb,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-531,Roberto Mangabeira Unger,Assuntos Estratégicos,05/02/2015,16/09/2015,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-5,true:titular,affiliation-56398b55c5be,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-532,Gilberto Kassab,Cidades,01/01/2015,19/04/2016,PSD,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-19,true:titular,affiliation-39707084a306;affiliation-3e99f909d3bf,PERSON-CONTINUITY-REVIEW;R04
atlas,atlas-line-533,Inês da Silva Magalhães,Cidades,19/04/2016,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-20,true:titular,affiliation-32075f7875e5,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-534,Vinicius Nobre Lages,Turismo,01/01/2015,16/04/2015,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-75,true:titular,affiliation-30498ddd5bfa,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-535,Henrique Eduardo Alves,Turismo,16/04/2015,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-76,true:titular,affiliation-1e682eb55f9d;affiliation-398de098c7cd,C045;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-536,Alessandro Golombiewski Teixeira,Turismo,22/04/2016,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-78,true:titular,affiliation-5608554c8b28;affiliation-fc40400effd6,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-537,Ideli Salvatti,Direitos Humanos,01/01/2015,10/04/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-36,true:titular,affiliation-a2d9361f450f,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-538,Pepe Vargas,Direitos Humanos,10/04/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-37;service-dilma_rousseff-1-67,true:titular,affiliation-cb70210091eb;affiliation-ec96137176df,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-539,Nilma Lino Gomes,Direitos Humanos,05/10/2015,11/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-38;service-dilma_rousseff-1-38-pre-transform;service-dilma_rousseff-1-48,false:non_entry;true:titular,affiliation-868ac39afc7e;affiliation-e8a01b2cb1e0,C024;C032;OFF-005;OFF-006;OFF-007;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-540,Miguel Rossetto,Secretaria-Geral (juventude),01/01/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-70;service-dilma_rousseff-1-73,true:titular,affiliation-813232b2bc21;affiliation-c877e5cc140e,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-541,Pepe Vargas,Relações Institucionais,01/01/2015,10/04/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-37;service-dilma_rousseff-1-67,true:titular,affiliation-cb70210091eb;affiliation-ec96137176df,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-542,Ricardo Berzoini,Governo,05/10/2015,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-23;service-dilma_rousseff-1-71;service-dilma_rousseff-1-71-pre-transform,false:non_entry;true:titular,affiliation-4b873e91cdd8;affiliation-7af3673c6018,C024;C032;OFF-005;OFF-006;OFF-007;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-543,Helder Barbalho,Pesca e Aquicultura,01/01/2015,05/10/2015,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-58;service-dilma_rousseff-1-63,true:titular,affiliation-002a4a3e3ac6;affiliation-0b6f459ac1e7;affiliation-a69642f0ced0;affiliation-d5b00c2a9cef,C009;C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-544,Eleonora Menicucci,Mulheres,01/01/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-61,true:titular,affiliation-270df0f8e42e,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-545,Nilma Lino Gomes,Igualdade Racial,01/01/2015,05/10/2015,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-38;service-dilma_rousseff-1-38-pre-transform;service-dilma_rousseff-1-48,false:non_entry;true:titular,affiliation-868ac39afc7e;affiliation-e8a01b2cb1e0,C024;C032;OFF-005;OFF-006;OFF-007;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-546,Edinho Araújo,Portos,01/01/2015,05/10/2015,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-62,true:titular,affiliation-7b274d41a3ea,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-547,Helder Barbalho,Portos,05/10/2015,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-58;service-dilma_rousseff-1-63,true:titular,affiliation-002a4a3e3ac6;affiliation-0b6f459ac1e7;affiliation-a69642f0ced0;affiliation-d5b00c2a9cef,C009;C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-548,Helder Barbalho,Portos,31/03/2016,21/04/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-58;service-dilma_rousseff-1-63,true:titular,affiliation-002a4a3e3ac6;affiliation-0b6f459ac1e7;affiliation-a69642f0ced0;affiliation-d5b00c2a9cef,C009;C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-549,Maurício Muniz Barreto de Carvalho,Portos,22/04/2016,11/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-64,true:titular,affiliation-f443e02e8e29,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-550,Eliseu Padilha,Aviação Civil,01/01/2015,09/12/2015,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-7,true:titular,affiliation-518560e30e49;affiliation-c67117c71f67,C021;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-551,Guilherme Walder Mora Ramalho (interino),Aviação Civil,09/12/2015,15/03/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-10;service-dilma_rousseff-1-8,true:titular;true:vacancy_acting,affiliation-1acf6c75b9f2,ATLAS-551;ATLAS-554;C021;PERSON-CONTINUITY-REVIEW
atlas,atlas-line-552,Mauro Lopes,Aviação Civil,16/03/2016,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-9,true:titular,affiliation-2e5a9f3d642a;affiliation-4489ca399bcf,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-553,Mauro Lopes,Aviação Civil,31/03/2016,14/04/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-9,true:titular,affiliation-2e5a9f3d642a;affiliation-4489ca399bcf,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-554,Carlos Eduardo Gabas,Aviação Civil,29/04/2016,11/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-65;service-f6b7136b576a,true:titular,affiliation-178c65b3baec;affiliation-3fe827923a90,C024;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-555,Guilherme Afif Domingos,Micro e Pequenas Empresas,01/01/2015,05/10/2015,PSD,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-55,true:titular,affiliation-35e1570fff93,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-556,Eliseu Padilha,Casa Civil,12/05/2016,31/12/2018,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-C012-padilha-trabalho;service-michel_temer-0-5,true:titular;true:vacancy_acting,affiliation-518560e30e49;affiliation-c67117c71f67,C012;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-557,Alexandre de Moraes,Justiça e Cidadania,12/05/2016,22/02/2017,PSDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-34,true:titular,affiliation-ad763f0b7d2f,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-558,Osmar Serraglio,Justiça e Segurança Pública,07/03/2017,31/05/2017,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-36,true:titular,affiliation-f57de115606c,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-559,Torquato Jardim,Justiça e Segurança Pública,31/05/2017,31/12/2018,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-18;service-michel_temer-0-37,true:titular,affiliation-4cdc01dd2bee;affiliation-f488c4e65995,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-560,Raul Jungmann,Defesa,12/05/2016,21/05/2017,PPS,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-22;service-michel_temer-0-67,true:titular,affiliation-5a9063548031;affiliation-bd9937883986;affiliation-c97971ff1dd1;affiliation-fc4ede1b1df9,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R11
atlas,atlas-line-561,Raul Jungmann,Defesa,22/05/2017,27/02/2018,PPS,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-22;service-michel_temer-0-67,true:titular,affiliation-5a9063548031;affiliation-bd9937883986;affiliation-c97971ff1dd1;affiliation-fc4ede1b1df9,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R11
atlas,atlas-line-562,Joaquim Silva e Luna,Defesa,27/02/2018,31/12/2018,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-23,true:vacancy_acting,affiliation-96e96ef8deed,OFFICE-CAPACITY-2018;PERSON-CONTINUITY-REVIEW
atlas,atlas-line-563,José Serra,Relações Exteriores,12/05/2016,22/02/2017,PSDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-45,true:titular,affiliation-de4060699ce6,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-564,Aloysio Nunes,Relações Exteriores,07/03/2017,29/11/2017,PSDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-47,true:titular,affiliation-1fffe4c27ba3;affiliation-5af68245cb82,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-565,Aloysio Nunes,Relações Exteriores,30/11/2017,31/12/2018,PSDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-47,true:titular,affiliation-1fffe4c27ba3;affiliation-5af68245cb82,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-566,Henrique Meirelles,Fazenda ,12/05/2016,06/04/2018,PSDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-30,true:titular,affiliation-7afe4fc6c00c;affiliation-92a79e944d8e,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R09
atlas,atlas-line-567,Eduardo Guardia,Fazenda ,10/04/2018,31/12/2018,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-31,true:titular,affiliation-477914b72f6e;affiliation-f9b696359ce8,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-568,Maurício Quintella Lessa,"Transportes, Portos e Aviação Civil",12/05/2016,02/04/2018,PR,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-61,true:titular,affiliation-44ba3dbfd202,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R05
atlas,atlas-line-569,Valter Casimiro Silveira,"Transportes, Portos e Aviação Civil",02/04/2018,31/12/2018,PR,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-62,true:titular,affiliation-6180c2397d82;affiliation-ec3c8c4a6df8,C001;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R13
atlas,atlas-line-570,Blairo Maggi,"Agricultura, Pecuária e Abastecimento",12/05/2016,31/12/2018,PP,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-3,true:titular,affiliation-0dfac208e513,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-571,Mendonça Filho,Educação,12/05/2016,06/04/2018,DEM,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-20,true:titular,affiliation-10d430b823de,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-572,Rossieli Soares,Educação,10/04/2018,31/12/2018,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-21,true:titular,affiliation-c28f7caff6cf,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-573,Ronaldo Nogueira,Trabalho,12/05/2016,29/12/2017,PTB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-57,true:titular,affiliation-525428b40767,PERSON-CONTINUITY-REVIEW;R06
atlas,atlas-line-574,Helton Yomura,Trabalho,29/12/2017,05/07/2018,PTB,reviewed_person_and_administration_links_raw_office_claim_retained,service-michel_temer-0-59,true:vacancy_acting_then_titular,affiliation-4a6d9a51bac5;affiliation-caf2c75c07e1,PERSON-CONTINUITY-REVIEW;R06
