service_id,person_id,person_name,office_id,office_name,administration_id,start_inclusive,end_exclusive,capacity,included,scope_decision,raw_start,raw_end,raw_date_semantics,date_status,date_earliest,date_latest,evidence_ids,decision_ids,source_record_ids
service-jair_bolsonaro-0-56,person-0d44fe4521b9,João Roma,bolsonaro-cidadania,Ministério da Cidadania,bolsonaro,2021-02-12,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-02-12,2022-03-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-012;BOL-E22;LEG-e0e860c3a1e2,R23,jair_bolsonaro:0:56
service-jair_bolsonaro-0-59,person-124094b2bfa2,Gilson Machado Neto,bolsonaro-turismo,Ministério do Turismo,bolsonaro,2020-12-09,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-12-09,2022-03-30,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-032;BOL-E20;LEG-6a60736fa9a9,R24,jair_bolsonaro:0:59
service-jair_bolsonaro-0-3,person-0fbaba5c8624,Luiz Eduardo Ramos,bolsonaro-casa-civil,Casa Civil,bolsonaro,2021-04-01,2021-07-28,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-03-29,2021-07-28,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-ebe4d4a81d54,BOL-A02;POPULATION-REVIEW,jair_bolsonaro:0:3
service-jair_bolsonaro-0-38,person-0fbaba5c8624,Luiz Eduardo Ramos,bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,bolsonaro,2021-07-28,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-07-28,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-e62d7a3cb75d,BOL-A02;POPULATION-REVIEW,jair_bolsonaro:0:38
service-jair_bolsonaro-0-4,person-af97e0cae87f,Ciro Nogueira,bolsonaro-casa-civil,Casa Civil,bolsonaro,2021-07-28,2022-12-30,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-08-04,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,C010;C036;LEG-d1a5739ab53a,C010;C036;POPULATION-REVIEW,jair_bolsonaro:0:4
service-jair_bolsonaro-0-53,person-3695143e73fd,Daniel Duarte Ferreira,bolsonaro-desenvolvimento-regional,Ministério do Desenvolvimento Regional,bolsonaro,2022-03-31,2022-12-30,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,C037;LEG-c4002690b590,C037;POPULATION-REVIEW,jair_bolsonaro:0:53
service-jair_bolsonaro-0-48,person-d75dc2747d17,Célio Faria Júnior,bolsonaro-secretaria-governo,Secretaria de Governo,bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,C039;LEG-0561fae55600,C039;POPULATION-REVIEW,jair_bolsonaro:0:48
service-207a1e9e526c,person-82d2816ba9d8,Ilan Goldfajn,bolsonaro-banco-central,Banco Central,bolsonaro,2019-01-01,2019-02-28,titular,true,Dated Minister of State scope; OFF-019;OFF-020,2019-01-01,2019-02-28,reviewed half-open interval,adjudicated_source_boundary,,,OFF-019;OFF-020,OFFICE-ADJUDICATION,
service-df493137b62f,person-f9bec775a094,José Carlos Oliveira,bolsonaro-trabalho,Trabalho,bolsonaro,2022-03-31,2023-01-01,titular,true,Dated Minister of State scope; OFF-025;ATLAS-637,2022-03-31,2023-01-01,reviewed half-open interval,adjudicated_source_boundary,,,OFF-025;ATLAS-637,OFFICE-ADJUDICATION,jair_bolsonaro:0:7
service-9652707b0ac0,person-a74198f91d7f,Onyx Lorenzoni,bolsonaro-trabalho,Trabalho,bolsonaro,2021-07-28,2022-03-31,titular,true,Dated Minister of State scope; OFF-023;OFF-024;ATLAS-636,2021-07-28,2022-03-31,reviewed half-open interval,adjudicated_source_boundary,,,ATLAS-636;OFF-023;OFF-024;OFF-031–OFF-034,OFFICE-ADJUDICATION;R30,jair_bolsonaro:0:6
service-jair_bolsonaro-0-33,person-b3c07bf64b96,Gustavo Bebianno,bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,bolsonaro,2019-01-01,2019-02-18,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2019-02-18,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-0d5fe63fcadb,POPULATION-REVIEW,jair_bolsonaro:0:33
service-jair_bolsonaro-0-39,person-771d907e0f23,Ricardo Vélez Rodríguez,bolsonaro-educacao,Ministério da Educação,bolsonaro,2019-01-01,2019-04-08,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2019-04-08,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-b6119274bf0c,POPULATION-REVIEW,jair_bolsonaro:0:39
service-jair_bolsonaro-0-45,person-322643379e9d,Carlos Alberto dos Santos Cruz,bolsonaro-secretaria-governo,Secretaria de Governo,bolsonaro,2019-01-01,2019-06-13,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2019-06-13,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-083b3c9ae8ee,POPULATION-REVIEW,jair_bolsonaro:0:45
service-jair_bolsonaro-0-51,person-5936250a32d3,Gustavo Canuto,bolsonaro-desenvolvimento-regional,Ministério do Desenvolvimento Regional,bolsonaro,2019-01-01,2020-02-11,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2020-02-11,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-8693fc5ad84e,POPULATION-REVIEW,jair_bolsonaro:0:51
service-jair_bolsonaro-0-54,person-95ad6fa20856,Osmar Terra,bolsonaro-cidadania,Ministério da Cidadania,bolsonaro,2019-01-01,2020-02-14,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2020-02-14,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-0b81a0214570,POPULATION-REVIEW,jair_bolsonaro:0:54
service-jair_bolsonaro-0-25,person-eeb5a64cf94d,Luiz Henrique Mandetta,bolsonaro-saude,Ministério da Saúde,bolsonaro,2019-01-01,2020-04-16,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2020-04-16,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-61f568dd5701,POPULATION-REVIEW,jair_bolsonaro:0:25
service-jair_bolsonaro-0-12,person-1bf1b217be4a,Sergio Moro,bolsonaro-justica,Ministério da Justiça e Segurança Pública,bolsonaro,2019-01-01,2020-04-24,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2020-04-24,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-87ae07a227bd,POPULATION-REVIEW,jair_bolsonaro:0:12
service-jair_bolsonaro-0-26,person-f4df829d9e6a,Nelson Teich,bolsonaro-saude,Ministério da Saúde,bolsonaro,2020-04-17,2020-05-15,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-04-17,2020-05-15,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-23516089df3e,POPULATION-REVIEW,jair_bolsonaro:0:26
service-jair_bolsonaro-0-40,person-e76ae1eaa3cb,Abraham Weintraub,bolsonaro-educacao,Ministério da Educação,bolsonaro,2019-04-08,2020-06-20,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-04-08,2020-06-20,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-d9b4064c62f2,POPULATION-REVIEW,jair_bolsonaro:0:40
service-jair_bolsonaro-0-58,person-ccda4e28f3dd,Marcelo Álvaro Antônio,bolsonaro-turismo,Ministério do Turismo,bolsonaro,2019-01-01,2020-12-09,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2020-12-09,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-3711a94038ea,POPULATION-REVIEW,jair_bolsonaro:0:58
service-jair_bolsonaro-0-35,person-67b7120fa858,Jorge Oliveira,bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,bolsonaro,2019-06-21,2020-12-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-06-21,2020-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-6a03da16e908,POPULATION-REVIEW,jair_bolsonaro:0:35
service-jair_bolsonaro-0-31,person-326c14e875d3,André Mendonça,bolsonaro-agu,Advocacia-Geral da União,bolsonaro,2021-03-30,2021-08-06,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-03-20,2021-08-06,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-ee50e9c3bdf3,POPULATION-REVIEW,jair_bolsonaro:0:31
service-jair_bolsonaro-0-43,person-289af7b4f132,Milton Ribeiro,bolsonaro-educacao,Ministério da Educação,bolsonaro,2020-07-16,2022-03-28,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-07-16,2022-03-28,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-50bddd305e20,POPULATION-REVIEW,jair_bolsonaro:0:43
service-jair_bolsonaro-0-61,person-74eb6ba4197c,Bento Albuquerque,bolsonaro-minas-e-energia,Ministério de Minas e Energia,bolsonaro,2019-01-01,2022-05-11,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-05-11,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-68fffc6a2b22,POPULATION-REVIEW,jair_bolsonaro:0:61
service-jair_bolsonaro-0-32,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,Advocacia-Geral da União,bolsonaro,2021-08-06,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-08-06,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-0619874c39e2,POPULATION-REVIEW,jair_bolsonaro:0:32
service-jair_bolsonaro-0-66,person-7d71eab96e03,Joaquim Alvaro Pereira Leite,bolsonaro-meio-ambiente,Ministério do Meio Ambiente,bolsonaro,2021-06-23,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-06-23,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-08ce7329060f,POPULATION-REVIEW,jair_bolsonaro:0:66
service-jair_bolsonaro-0-24,person-6e58f0606af5,Wagner Rosário,bolsonaro-cgu,Controladoria-Geral da União,bolsonaro,2019-01-01,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-0a433c253eb3,POPULATION-REVIEW,jair_bolsonaro:0:24
service-jair_bolsonaro-0-5,person-40f3a2e695f4,Paulo Guedes,bolsonaro-economia,Ministério da Economia,bolsonaro,2019-01-01,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-24bdcc54c414,POPULATION-REVIEW,jair_bolsonaro:0:5
service-jair_bolsonaro-0-60,person-5a4f56e80b67,Carlos Alberto Gomes de Brito,bolsonaro-turismo,Ministério do Turismo,bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-3a3c01153d10,POPULATION-REVIEW,jair_bolsonaro:0:60
service-jair_bolsonaro-0-9,person-6fc90e9e6006,Paulo César Alvim,bolsonaro-ciencia-tecnologia,"Ministério da Ciência, Tecnologia e Inovações",bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-6e56717fdb65,POPULATION-REVIEW,jair_bolsonaro:0:9
service-jair_bolsonaro-0-20,person-99dce727f50d,Paulo Sérgio Nogueira de Oliveira,bolsonaro-defesa,Ministério da Defesa,bolsonaro,2022-04-01,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-04-01,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-70db330a83a1,POPULATION-REVIEW,jair_bolsonaro:0:20
service-jair_bolsonaro-0-50,person-94039ea6c1ed,Marcelo Sampaio,bolsonaro-infraestrutura,Ministério da Infraestrutura,bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-7a6d44294d17,POPULATION-REVIEW,jair_bolsonaro:0:50
service-jair_bolsonaro-0-57,person-88d109b51eb0,Ronaldo Vieira Bento,bolsonaro-cidadania,Ministério da Cidadania,bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-e0e4ca4ca8d3,POPULATION-REVIEW,jair_bolsonaro:0:57
service-jair_bolsonaro-0-28,person-2c3dff30638f,Marcelo Queiroga,bolsonaro-saude,Ministério da Saúde,bolsonaro,2021-03-23,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-03-23,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-f48fe3f88953,POPULATION-REVIEW,jair_bolsonaro:0:28
service-jair_bolsonaro-0-17,person-0429cfdf16f2,Augusto Heleno,bolsonaro-gsi,Gabinete de Segurança Institucional,bolsonaro,2019-01-01,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,AFF-010;AFF-011;BOL-E09;BOL-E10;BOL-E11;LEG-ba6b7e4f1910,POPULATION-REVIEW;R20,jair_bolsonaro:0:17
service-jair_bolsonaro-0-10,person-c0ea546db6a5,Fábio Faria,bolsonaro-comunicacoes,Ministério das Comunicações,bolsonaro,2020-06-17,2022-12-21,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-06-17,2022-12-21,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,AFF-026;LEG-c3b41de7e8c0,POPULATION-REVIEW;R21,jair_bolsonaro:0:10
service-jair_bolsonaro-0-62,person-1c11e767f427,Adolfo Sachsida,bolsonaro-minas-e-energia,Ministério de Minas e Energia,bolsonaro,2022-05-11,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-05-11,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,AFF-044;BOL-E07;BOL-E08;LEG-5b2c802041f5,POPULATION-REVIEW;R26,jair_bolsonaro:0:62
service-jair_bolsonaro-0-1,person-a74198f91d7f,Onyx Lorenzoni,bolsonaro-casa-civil,Casa Civil,bolsonaro,2019-01-01,2020-02-14,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2020-02-14,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-df0a18aba9ff;OFF-031–OFF-034,POPULATION-REVIEW;R30,jair_bolsonaro:0:1
service-jair_bolsonaro-0-55,person-a74198f91d7f,Onyx Lorenzoni,bolsonaro-cidadania,Ministério da Cidadania,bolsonaro,2020-02-18,2021-02-12,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-02-18,2021-02-12,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-2652bfa0305c;OFF-031–OFF-034,POPULATION-REVIEW;R30,jair_bolsonaro:0:55
service-jair_bolsonaro-0-37,person-a74198f91d7f,Onyx Lorenzoni,bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,bolsonaro,2021-02-12,2021-07-28,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-02-12,2021-07-28,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-607f4976d0f0;OFF-031–OFF-034,POPULATION-REVIEW;R30,jair_bolsonaro:0:37
service-31568cb97b5d,person-882405f44f66,Roberto Campos Neto,bolsonaro-banco-central,Banco Central,bolsonaro,2019-02-28,2021-02-25,titular,true,Dated Minister of State scope; OFF-019;OFF-020;OFF-021;OFF-022,2019-02-28,2021-02-25,reviewed half-open interval,dated_legal_scope,,,BOL-E10;OFF-019;OFF-020;OFF-021;OFF-022,BOL-A03,jair_bolsonaro:0:23
service-jair_bolsonaro-0-16,person-b8dfe242ff4d,Marcos Montes,bolsonaro-agricultura,"Ministério da Agricultura, Pecuária e Abastecimento",bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-31,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,evidence_supported,,,BOL-E17;BOL-E18;BOL-E21;BOL-E22;LEG-342db9e7f38f,R25,jair_bolsonaro:0:16
service-jair_bolsonaro-0-65,person-d2dadf632731,Ricardo Salles,bolsonaro-meio-ambiente,Ministério do Meio Ambiente,bolsonaro,2019-01-01,2021-06-23,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2021-06-23,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,inherited_effective_succession,,,AFF-020;AFF-021;AFF-023;AFF-054;BOL-E03;BOL-E04;BOL-E05;BOL-E06;BOL-E23;LEG-d0cbe95249e0,R15,jair_bolsonaro:0:65
service-jair_bolsonaro-0-46,person-0fbaba5c8624,Luiz Eduardo Ramos,bolsonaro-secretaria-governo,Secretaria de Governo,bolsonaro,2019-06-13,2021-03-30,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-06-13,2021-03-29,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,supported_effective_or_last_service_date,,,C049;LEG-ce9aa704d046,BOL-A02;C049;POPULATION-REVIEW,jair_bolsonaro:0:46
service-jair_bolsonaro-0-34,person-1a9f69c72058,Floriano Peixoto Vieira Neto,bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,bolsonaro,2019-02-18,2019-06-21,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-02-18,2019-06-20,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,supported_effective_or_last_service_date,,,C043;LEG-6f1e3b239fc3,C043;POPULATION-REVIEW,jair_bolsonaro:0:34
service-jair_bolsonaro-0-30,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,Advocacia-Geral da União,bolsonaro,2020-04-29,2021-03-30,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-04-29,2021-03-29,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,supported_effective_or_last_service_date,,,C049;LEG-066b940f16e0,C049;POPULATION-REVIEW,jair_bolsonaro:0:30
service-jair_bolsonaro-0-21,person-37d1541c30a3,Ernesto Araújo,bolsonaro-relacoes-exteriores,Ministério das Relações Exteriores,bolsonaro,2019-01-01,2021-03-30,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2021-03-29,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,supported_effective_or_last_service_date,,,C049;LEG-4e7ce6988315,C049;POPULATION-REVIEW,jair_bolsonaro:0:21
service-jair_bolsonaro-0-2,person-0b9c7bbdb3fe,Walter Braga Netto,bolsonaro-casa-civil,Casa Civil,bolsonaro,2020-02-18,2021-03-30,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-02-18,2021-03-29,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,supported_effective_or_last_service_date,,,C049;LEG-62197e617b7c,C049;POPULATION-REVIEW,jair_bolsonaro:0:2
