source_record_id,source_cells_json,service_ids,disposition,evidence_ids
michel_temer:0:22,"[""Defesa"", """", ""Raul Jungmann"", ""PPS"", ""12 de maio de 2016 [ 2 ]"", ""27 de fevereiro de 2018 [ 13 ]""]",service-michel_temer-0-22,included_reviewed_service,AFF-004;LEG-5f81e43d920a
michel_temer:0:67,"[""Segurança Pública (ministério criado em fevereiro de 2018)"", """", ""Raul Jungmann"", ""PPS"", ""27 de fevereiro de 2018 [ 13 ]"", ""1 de janeiro de 2019""]",service-michel_temer-0-67,included_reviewed_service,AFF-004;LEG-65320282090a
michel_temer:0:61,"[""Transportes, Portos e Aviação Civil"", """", ""Maurício Quintella Lessa"", ""PR"", ""12 de maio de 2016 [ 2 ]"", ""2 de abril de 2018""]",service-michel_temer-0-61,included_reviewed_service,AFF-008;LEG-149db8d513f8
michel_temer:0:59,"[""Trabalho"", """", ""Helton Yomura (Interino até 10 de abril de 2018)"", ""-"", ""01 de janeiro de 2018 [ 28 ]"", ""5 de julho de 2018 [ 29 ]""]",service-michel_temer-0-59,included_reviewed_service,AFF-009;LEG-03cf04d9b8ec
michel_temer:0:57,"[""Trabalho"", """", ""Ronaldo Nogueira"", ""PTB"", ""12 de maio de 2016 [ 2 ]"", ""27 de dezembro de 2017 [ 26 ]""]",service-michel_temer-0-57,included_reviewed_service,AFF-009;LEG-9fcbb2439062
jair_bolsonaro:0:17,"[""Gabinete de Segurança Institucional"", """", ""Augusto Heleno"", ""Patriota"", ""1 de janeiro de 2019"", ""1 de janeiro de 2023"", ""[ 15 ]""]",service-jair_bolsonaro-0-17,included_reviewed_service,AFF-010;AFF-011;BOL-E09;BOL-E10;BOL-E11;LEG-ba6b7e4f1910
jair_bolsonaro:0:8,"[""Ministério da Ciência, Tecnologia e Inovações"", """", ""Marcos Pontes"", ""PL"", ""1 de janeiro 2019"", ""31 de março de 2022"", ""[ 6 ]""]",service-jair_bolsonaro-0-8,included_reviewed_service,AFF-012;AFF-044;BOL-E10;BOL-E22;LEG-27cb82daf344
jair_bolsonaro:0:56,"[""Ministério da Cidadania"", """", ""João Roma"", ""REP / PL"", ""12 de fevereiro de 2021"", ""31 de março de 2022"", ""[ 35 ]""]",service-jair_bolsonaro-0-56,included_reviewed_service,AFF-012;BOL-E22;LEG-e0e860c3a1e2
jair_bolsonaro:0:63,"[""Ministério da Mulher, da Família e dos Direitos Humanos"", """", ""Damares Alves"", ""PP / Republicanos"", ""1 de janeiro de 2019"", ""30 de março de 2022"", ""[ 59 ]""]",service-jair_bolsonaro-0-63,included_reviewed_service,AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18;LEG-b90af80ef12a
jair_bolsonaro:0:49,"[""Ministério da Infraestrutura"", """", ""Tarcísio de Freitas"", ""Republicanos"", ""1 de janeiro de 2019"", ""31 de março de 2022"", ""[ 47 ]""]",service-jair_bolsonaro-0-49,included_reviewed_service,AFF-015;AFF-016;BOL-E19;LEG-310d8d95dc92
jair_bolsonaro:0:14,"[""Ministério da Justiça e Segurança Pública"", """", ""Anderson Torres"", ""PSL / UNIÃO"", ""29 de março de 2021"", ""1 de janeiro de 2023"", ""[ 12 ]""]",service-jair_bolsonaro-0-14,included_reviewed_service,AFF-017;AFF-018;AFF-019;LEG-2ffad066f860;OFF-051
jair_bolsonaro:0:65,"[""Ministério do Meio Ambiente"", """", ""Ricardo Salles"", ""NOVO"", ""1 de janeiro de 2019"", ""23 de junho de 2021"", ""[ 60 ]""]",service-jair_bolsonaro-0-65,included_reviewed_service,AFF-020;AFF-021;AFF-023;AFF-054;BOL-E03;BOL-E04;BOL-E05;BOL-E06;BOL-E23;LEG-d0cbe95249e0
jair_bolsonaro:0:52,"[""Ministério do Desenvolvimento Regional"", """", ""Rogério Marinho"", ""PSDB / PL"", ""11 de fevereiro de 2020"", ""31 de março de 2022"", ""[ 50 ]""]",service-jair_bolsonaro-0-52,included_reviewed_service,AFF-024;AFF-025;BOL-E12;BOL-E13;LEG-1f0c8beb2f9f
jair_bolsonaro:0:10,"[""Ministério das Comunicações"", """", ""Fábio Faria"", ""PSD / PP"", ""17 de junho de 2020"", ""21 de dezembro de 2022"", ""[ 8 ] [ 9 ]""]",service-jair_bolsonaro-0-10,included_reviewed_service,AFF-026;LEG-c3b41de7e8c0
jair_bolsonaro:0:15,"[""Ministério da Agricultura, Pecuária e Abastecimento"", """", ""Tereza Cristina"", ""DEM / UNIÃO / PP"", ""1 de janeiro de 2019"", ""30 de março de 2022"", ""[ 13 ]""]",service-jair_bolsonaro-0-15,included_reviewed_service,AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16;LEG-b0900f041b01
jair_bolsonaro:0:59,"[""Ministério do Turismo"", """", ""Gilson Machado Neto"", ""PSC / PL"", ""9 de dezembro de 2020"", ""31 de março de 2022"", ""[ 55 ]""]",service-jair_bolsonaro-0-59,included_reviewed_service,AFF-032;BOL-E20;LEG-6a60736fa9a9
lula_2023_presente:2:46,"[""Turismo"", """", ""Celso Sabino"", ""UNIÃO / PA"", ""3 de agosto de 2023"", ""23 de dezembro de 2025"", ""[ 32 ]""]",service-lula_2023_presente-2-46,included_reviewed_service,AFF-034;LEG-68b75f23e045
lula_2023_presente:2:7,"[""Comunicações"", """", ""Frederico Siqueira"", ""Sem partido/ PE"", ""24 de abril de 2025"", ""Em exercício"", ""[ 8 ]""]",service-lula_2023_presente-2-7,included_reviewed_service,AFF-038;LEG-01028140cce5
lula_2023_presente:2:24,"[""Integração e Desenvolvimento Regional"", """", ""Waldez Góes"", ""PDT / AP"", ""1.º de janeiro de 2023"", ""Em exercício"", """"]",service-lula_2023_presente-2-24,included_reviewed_service,AFF-038;LEG-3d0e51476ed5
lula_2023_presente:2:47,"[""Turismo"", """", ""Gustavo Feliciano"", ""Sem partido/ PB"", ""23 de dezembro de 2025"", ""Em exercício"", ""[ 33 ]""]",service-lula_2023_presente-2-47,included_reviewed_service,AFF-038;LEG-4f3b9ee61eb5
jair_bolsonaro:0:62,"[""Ministério de Minas e Energia"", """", ""Adolfo Sachsida"", ""---"", ""11 de maio de 2022"", ""1 de janeiro de 2023"", ""[ 58 ]""]",service-jair_bolsonaro-0-62,included_reviewed_service,AFF-044;BOL-E07;BOL-E08;LEG-5b2c802041f5
dilma_rousseff:1:52,"[""Ministério da Justiça"", """", ""Wellington César Lima e Silva"", ""—"", ""3 de março de 2016"", ""14 de março de 2016 (nomeação suspensa pelo STF)"", ""[ 48 ]""]",service-84105bf0fa5f,included_reviewed_service,ATLAS-494;OFF-009;OFF-010;OFF-011
michel_temer:0:26,"[""Desenvolvimento, Indústria e Comércio"", """", ""Marcos Pereira"", ""PRB"", ""12 de maio de 2016 [ 2 ]"", ""3 de janeiro de 2018""]",service-eabeba688ae4,included_reviewed_service,ATLAS-578;OFF-003;OFF-012;OFF-049
michel_temer:0:27,"[""Desenvolvimento, Indústria e Comércio"", """", ""Marcos Jorge"", ""PRB"", ""4 de janeiro de 2018 [ 11 ]"", ""1 de janeiro de 2019""]",service-3e4783281846,included_reviewed_service,ATLAS-579;OFF-013;OFF-049;OFF-050
michel_temer:0:39,"["""", """", ""Edson Duarte"", ""PV"", ""7 de abril de 2018"", ""31 de dezembro de 2019""]",service-c8d1b1f769cc,included_reviewed_service,ATLAS-590;OFF-015;OFF-017
jair_bolsonaro:0:6,"[""Ministério do Trabalho e Previdência Social"", """", ""Onyx Lorenzoni"", ""DEM / UNIÃO / PL"", ""1 de janeiro de 2019"", ""31 de março de 2022"", ""[ 4 ]""]",service-9652707b0ac0,included_reviewed_service,ATLAS-636;OFF-023;OFF-024;OFF-031–OFF-034
jair_bolsonaro:0:7,"[""Ministério do Trabalho e Previdência Social"", """", ""José Carlos Oliveira"", ""—"", ""31 de março de 2022"", ""1 de janeiro de 2023"", ""[ 5 ]""]",service-df493137b62f,included_reviewed_service,ATLAS-637;OFF-025
jair_bolsonaro:0:23,"[""Banco Central do Brasil [ nota 1 ]"", """", ""Roberto Campos Neto"", ""—"", ""28 de fevereiro  de 2019"", ""31 de dezembro de 2024"", ""[ 21 ]""]",service-31568cb97b5d,included_reviewed_service,BOL-E10;OFF-019;OFF-020;OFF-021;OFF-022
jair_bolsonaro:0:16,"[""Ministério da Agricultura, Pecuária e Abastecimento"", """", ""Marcos Montes"", ""PSD"", ""31 de março de 2022"", ""1 de janeiro de 2023"", ""[ 14 ]""]",service-jair_bolsonaro-0-16,included_reviewed_service,BOL-E17;BOL-E18;BOL-E21;BOL-E22;LEG-342db9e7f38f
jair_bolsonaro:0:64,"[""Ministério da Mulher, da Família e dos Direitos Humanos"", """", ""Cristiane Britto"", ""Republicanos"", ""30 de março de 2022"", ""1 de janeiro de 2023"", ""[ 56 ]""]",service-jair_bolsonaro-0-64,included_reviewed_service,BOL-E17;BOL-E18;BOL-E21;BOL-E22;LEG-8c8c4650eaeb
michel_temer:0:12,"[""Cultura"", """", ""João Batista de Andrade"", ""PPS"", ""22 de maio de 2017 [ 9 ]"", ""16 de junho de 2017""]",service-michel_temer-0-12,included_reviewed_service,C008;LEG-7139e1851d7d
dilma_rousseff:1:63,"[""Secretaria Nacional dos Portos"", """", ""Helder Barbalho"", ""MDB"", ""2 de outubro de 2015"", ""20 de abril de 2016 (renunciou ao cargo)"", ""[ 36 ]""]",service-dilma_rousseff-1-63,included_reviewed_service,C009;C024;LEG-ed798dddc06b
dilma_rousseff:1:56,"[""Ministério de Minas e Energia"", """", ""Eduardo Braga"", ""MDB"", ""1º de janeiro de 2015"", ""20 de abril de 2016 (renunciou ao cargo)"", ""[ 1 ]""]",service-dilma_rousseff-1-56,included_reviewed_service,C009;LEG-328a5753236c
dilma_rousseff:1:64,"[""Secretaria Nacional dos Portos"", """", ""Maurício Muniz Barreto de Carvalho"", ""—"", ""20 de abril de 2016"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", """"]",service-dilma_rousseff-1-64,included_reviewed_service,C009;LEG-a4defbba80f9
dilma_rousseff:1:57,"[""Ministério de Minas e Energia"", """", ""Marco Antônio Martins Almeida"", ""—"", ""20 de abril de 2016"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)""]",service-dilma_rousseff-1-57,included_reviewed_service,C009;LEG-eb980c56cacd
jair_bolsonaro:0:4,"[""Casa Civil"", """", ""Ciro Nogueira"", ""PP"", ""4 de agosto de 2021"", ""1 de janeiro de 2023"", ""[ 3 ]""]",service-jair_bolsonaro-0-4,included_reviewed_service,C010;C036;LEG-d1a5739ab53a
lula_2023_presente:2:61,"[""Secretaria Extraordinária da Presidência da República para Apoio à Reconstrução do Rio Grande do Sul"", """", ""Paulo Pimenta"", ""PT / RS"", ""15 de maio de 2024"", ""10 de setembro de 2024 (Secretaria extinta)"", ""[ 41 ]""]",service-lula_2023_presente-2-61,included_reviewed_service,C011;LEG-260dc224b3b3
dilma_rousseff:1:7,"[""Secretaria de Aviação Civil"", """", ""Eliseu Padilha"", ""MDB"", ""1º de janeiro de 2015"", ""4 de dezembro de 2015 (renunciou ao cargo)"", ""[ 1 ]""]",service-dilma_rousseff-1-7,included_reviewed_service,C021;LEG-d2f12b350683
dilma_rousseff:1:8,"[""Secretaria de Aviação Civil"", """", ""Guilherme Walder Mora Ramalho"", ""—"", ""7 de dezembro de 2015 (interino)"", ""17 de março de 2016"", ""[ 37 ]""]",service-dilma_rousseff-1-8,included_reviewed_service,C021;LEG-f1b582114b4b
dilma_rousseff:1:68,"[""Ministério da Saúde"", """", ""Arthur Chioro"", ""PT"", ""1º de janeiro de 2015"", ""1 de outubro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-68,included_reviewed_service,C024;LEG-03d0c552eee1
dilma_rousseff:1:70,"[""Secretaria-Geral da Presidência"", """", ""Miguel Rossetto"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (secretaria transformada em Secretaria de Governo do Brasil)"", ""[ 1 ]""]",service-dilma_rousseff-1-70,included_reviewed_service,C024;LEG-06075cf8fce5
dilma_rousseff:1:58,"[""Ministério da Pesca e Aquicultura"", """", ""Helder Barbalho"", ""MDB"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (ministério incorporada ao Ministério da Agricultura, Pecuária e Abastecimento)"", ""[ 1 ]""]",service-dilma_rousseff-1-58,included_reviewed_service,C024;LEG-1591c82663db
dilma_rousseff:1:47,"[""Gabinete de Segurança Institucional"", """", ""José Elito Carvalho Siqueira"", ""—"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (secretaria incorporada a Secretaria de Governo do Brasil)"", ""[ 1 ]""]",service-dilma_rousseff-1-47,included_reviewed_service,C024;LEG-3274ba9a4075
dilma_rousseff:1:69,"[""Ministério da Saúde"", """", ""Marcelo Castro"", ""MDB"", ""1 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-69,included_reviewed_service,C024;LEG-575314f66abd
dilma_rousseff:1:41,"[""Ministério da Educação"", """", ""Renato Janine Ribeiro"", ""—"", ""6 de abril de 2015"", ""30 de setembro de 2015"", ""[ 45 ]""]",service-dilma_rousseff-1-41,included_reviewed_service,C024;LEG-5819c21b71da
dilma_rousseff:1:62,"[""Secretaria Nacional dos Portos"", """", ""Edson Coelho Araújo"", ""MDB"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-62,included_reviewed_service,C024;LEG-7313721f7d0a
dilma_rousseff:1:48,"[""Secretaria de Políticas de Promoção da Igualdade Racial"", """", ""Nilma Lino Gomes"", ""—"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (secretaria incorporada ao Ministério da Mulher, da Família e dos Direitos Humanos)"", ""[ 1 ]""]",service-dilma_rousseff-1-48,included_reviewed_service,C024;LEG-761e73bcf196
dilma_rousseff:1:42,"[""Ministério da Educação"", """", ""Aloizio Mercadante"", ""PT"", ""2 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-42,included_reviewed_service,C024;LEG-85841e849f8e
dilma_rousseff:1:73,"[""Ministério do Trabalho e Emprego"", """", ""Miguel Rossetto"", ""PT"", ""2 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-73,included_reviewed_service,C024;LEG-8670a70acb8c
dilma_rousseff:1:24,"[""Ministério das Comunicações"", """", ""André Figueiredo"", ""PDT"", ""2 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-24,included_reviewed_service,C024;LEG-86c922df0c71
dilma_rousseff:1:72,"[""Ministério do Trabalho e Emprego"", """", ""Manoel Dias"", ""PDT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (ministério transformado em Ministério do Trabalho e Previdência Social)"", ""[ 1 ]""]",service-dilma_rousseff-1-72,included_reviewed_service,C024;LEG-8912d93c02b7
dilma_rousseff:1:13,"[""Casa Civil"", """", ""Jaques Wagner"", ""PT"", ""2 de outubro de 2015"", ""16 de março de 2016"", ""[ 36 ]""]",service-dilma_rousseff-1-13,included_reviewed_service,C024;LEG-8fea2cf59c34
dilma_rousseff:1:61,"[""Secretaria de Políticas para as Mulheres"", """", ""Eleonora Menicucci"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (secretaria incorporada ao Ministério da Mulher, da Família e dos Direitos Humanos)"", ""[ 1 ]""]",service-dilma_rousseff-1-61,included_reviewed_service,C024;LEG-92ed8875155b
dilma_rousseff:1:16,"[""Ministério da Ciência, Tecnologia e Inovação"", """", ""Aldo Rebelo"", ""PCdoB"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-16,included_reviewed_service,C024;LEG-9551d742d972
dilma_rousseff:1:23,"[""Ministério das Comunicações"", """", ""Ricardo Berzoini"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-23,included_reviewed_service,C024;LEG-a0ba08a78c10
dilma_rousseff:1:65,"[""Ministério da Previdência Social"", """", ""Carlos Eduardo Gabas"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (ministério incorporada ao Ministério do Trabalho e Previdência Social)"", ""[ 1 ]""]",service-dilma_rousseff-1-65,included_reviewed_service,C024;LEG-b3f068a0416e
dilma_rousseff:1:37,"[""Secretaria de Direitos Humanos"", """", ""Pepe Vargas"", ""PT"", ""16 de abril de 2015"", ""2 de outubro de 2015 (secretaria transformada em Ministério da Mulher, da Família e dos Direitos Humanos)"", ""[ 44 ]""]",service-dilma_rousseff-1-37,included_reviewed_service,C024;LEG-b81907f65c5f
dilma_rousseff:1:30,"[""Ministério da Defesa"", """", ""Aldo Rebelo"", ""PCdoB"", ""2 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-30,included_reviewed_service,C024;LEG-bada6905fc7f
dilma_rousseff:1:38,"[""Secretaria de Direitos Humanos"", """", ""Nilma Lino Gomes"", ""—"", ""2 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-38;service-dilma_rousseff-1-38-pre-transform,included_reviewed_service,C024;LEG-bcc69be0973d
dilma_rousseff:1:17,"[""Ministério da Ciência, Tecnologia e Inovação"", """", ""Celso Pansera"", ""MDB"", ""2 de outubro de 2015"", ""14 de abril de 2016 (renunciou ao cargo)"", ""[ 36 ]""]",service-dilma_rousseff-1-17,included_reviewed_service,C024;LEG-c63d31861f21
dilma_rousseff:1:12,"[""Casa Civil"", """", ""Aloizio Mercadante"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-12,included_reviewed_service,C024;LEG-d255b4dea116
dilma_rousseff:1:29,"[""Ministério da Defesa"", """", ""Jaques Wagner"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-29,included_reviewed_service,C024;LEG-d44eb314acd9
dilma_rousseff:1:55,"[""Secretaria da Micro e Pequena Empresa"", """", ""Guilherme Afif Domingos"", ""PSD"", ""1º de janeiro de 2015"", ""2 de outubro de 2015 (secretaria incorporada a Secretaria de Governo do Brasil)"", ""[ 1 ]""]",service-dilma_rousseff-1-55,included_reviewed_service,C024;LEG-ea956fb419a3
dilma_rousseff:1:6,"[""Secretaria de Assuntos Estratégicos"", """", ""Vitor Pinto Chaves"", ""—"", ""14 de setembro de 2015"", ""2 de outubro de 2015 (secretaria extinta)"", ""[ 36 ]""]",service-dilma_rousseff-1-6,included_reviewed_service,C024;LEG-f2d52d14d0bb
dilma_rousseff:1:71,"[""Secretaria-Geral da Presidência"", """", ""Ricardo Berzoini"", ""PT"", ""2 de outubro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 36 ]""]",service-dilma_rousseff-1-71;service-dilma_rousseff-1-71-pre-transform,included_reviewed_service,C024;LEG-fc4f25515b67
jair_bolsonaro:0:11,"[""Ministério das Comunicações"", """", ""Maria Estella Dantas (interina)"", """", ""21 de dezembro de 2022"", ""1 de janeiro de 2023"", ""[ 9 ]""]",service-jair_bolsonaro-0-11,included_reviewed_service,C028;LEG-3f060ebf15da
jair_bolsonaro:0:36,"[""Secretaria-Geral da Presidência da República"", """", ""Pedro Cesar Sousa (interino)"", ""—"", ""7 de outubro de 2020"", ""12 de fevereiro de 2021"", ""[ 34 ]""]",service-jair_bolsonaro-0-36,included_reviewed_service,C028;LEG-79030362edda
michel_temer:0:54,"[""Secretaria-Geral (Ministério criado em fevereiro de 2017)"", """", ""Joaquim Oliveira (Interino)"", ""-"", """", """"]",service-58f6ac35cb5d,included_reviewed_service,C028;OCC-005
dilma_rousseff:1:59,"[""Ministério do Planejamento, Orçamento e Gestão"", """", ""Nelson Barbosa"", ""—"", ""1º de janeiro de 2015"", ""18 de dezembro de 2015"", ""[ 1 ]""]",service-dilma_rousseff-1-59,included_reviewed_service,C030;LEG-50db413117de
dilma_rousseff:1:15,"[""Casa Civil"", """", ""Eva Chiavon"", ""PT"", ""22 de março de 2016 (interina)"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 41 ]""]",service-C055-person-884dd07ee0fc;service-dilma_rousseff-1-15,included_reviewed_service,C031;C055;LEG-f7165c075478
michel_temer:0:17,"[""Fiscalização, Transparência e Controladoria-Geral da União"", """", ""Carlos Higino Ribeiro de Alencar (interino)"", ""-"", ""30 de maio de 2016"", ""1º de junho de 2016""]",service-michel_temer-0-17,included_reviewed_service,C033;LEG-10ae0d5a66c3
michel_temer:0:52,"[""Secretaria de Governo"", """", ""Carlos Marun"", ""MDB"", ""15 de dezembro de 2017 [ 25 ]"", ""28 de dezembro de 2018""]",service-13f7c2c1b899,included_reviewed_service,C034;OFF-003;OFF-012;OFF-013
michel_temer:0:51,"[""Secretaria de Governo"", """", ""Antônio Imbassahy"", ""PSDB"", ""3 de fevereiro de 2017"", ""15 de dezembro de 2017 [ 24 ]""]",service-f103a0f5f74a;service-f103a0f5f74a-b;service-f103a0f5f74a-c,included_reviewed_service,C035;OFF-003;OFF-012;OFF-013
jair_bolsonaro:0:53,"[""Ministério do Desenvolvimento Regional"", """", ""Daniel Duarte Ferreira"", ""—"", ""31 de março de 2022"", ""1 de janeiro de 2023"", ""[ 51 ]""]",service-jair_bolsonaro-0-53,included_reviewed_service,C037;LEG-c4002690b590
jair_bolsonaro:0:48,"[""Secretaria de Governo"", """", ""Célio Faria Júnior"", ""—"", ""31 de março de 2022"", ""1 de janeiro de 2023"", ""[ 46 ]""]",service-jair_bolsonaro-0-48,included_reviewed_service,C039;LEG-0561fae55600
michel_temer:0:14,"[""Direitos Humanos (Ministério criado em fevereiro 2017) [ 10 ]"", """", ""Luislinda Valois"", ""PSDB"", ""3 de fevereiro de 2017"", ""19 de fevereiro de 2018""]",service-michel_temer-0-14,included_reviewed_service,C040;LEG-9d878ec47da4
michel_temer:0:53,"[""Secretaria-Geral (Ministério criado em fevereiro de 2017)"", """", ""Moreira Franco"", ""MDB"", ""3 de fevereiro de 2017"", ""6 de abril de 2018""]",service-michel_temer-0-53,included_reviewed_service,C041;LEG-79c599cac5ac
michel_temer:0:41,"[""Minas e Energia"", """", ""Moreira Franco"", ""MDB"", ""6 de abril de 2018 [ 19 ]"", ""31 de dezembro de 2018""]",service-michel_temer-0-41,included_reviewed_service,C041;LEG-c9ecc2f3d167
jair_bolsonaro:0:27,"[""Ministério da Saúde"", """", ""Eduardo Pazuello"", ""—"", ""16 de maio de 2020"", ""23 de março de 2021"", ""[ 25 ]""]",service-jair_bolsonaro-0-27,included_reviewed_service,C042;LEG-80228da93ab9
jair_bolsonaro:0:34,"[""Secretaria-Geral da Presidência da República"", """", ""Floriano Peixoto Vieira Neto [ nota 3 ]"", ""—"", ""18 de fevereiro de 2019"", ""20 de junho de 2019"", ""[ 32 ]""]",service-jair_bolsonaro-0-34,included_reviewed_service,C043;LEG-6f1e3b239fc3
michel_temer:0:63,"[""Turismo"", """", ""Henrique Eduardo Alves"", ""MDB"", ""12 de maio de 2016 [ 2 ]"", ""16 de junho de 2016""]",service-michel_temer-0-63,included_reviewed_service,C045;LEG-0ac27f4dceb2
michel_temer:0:10,"[""Cultura"", """", ""Marcelo Calero"", ""MDB"", ""24 de maio de 2016 [ 6 ]"", ""18 de novembro de 2016 [ 7 ]""]",service-michel_temer-0-10,included_reviewed_service,C047;LEG-689fffcf6dc3
jair_bolsonaro:0:44,"[""Ministério da Educação"", """", ""Victor Godoy Veiga"", ""—"", ""29 de março de 2022"", ""1 de janeiro de 2023"", ""[ 42 ]""]",service-jair_bolsonaro-0-44,included_reviewed_service,C048;LEG-ae1c28478e53
jair_bolsonaro:0:30,"[""Advocacia-Geral da União"", """", ""José Levi Mello"", ""—"", ""29 de abril de 2020"", ""29 de março de 2021"", ""[ 27 ]""]",service-jair_bolsonaro-0-30,included_reviewed_service,C049;LEG-066b940f16e0
jair_bolsonaro:0:21,"[""Ministério das Relações Exteriores"", """", ""Ernesto Araújo"", ""—"", ""1 de janeiro de 2019"", ""29 de março de 2021"", ""[ 19 ]""]",service-jair_bolsonaro-0-21,included_reviewed_service,C049;LEG-4e7ce6988315
jair_bolsonaro:0:2,"[""Casa Civil"", """", ""Walter Braga Netto"", ""—"", ""18 de fevereiro de 2020"", ""29 de março de 2021"", ""[ 2 ]""]",service-jair_bolsonaro-0-2,included_reviewed_service,C049;LEG-62197e617b7c
jair_bolsonaro:0:18,"[""Ministério da Defesa"", """", ""Fernando Azevedo e Silva"", ""—"", ""1 de janeiro de 2019"", ""29 de março de 2021"", ""[ 16 ]""]",service-jair_bolsonaro-0-18,included_reviewed_service,C049;LEG-7cd94731dd90
