atlas_line,administration_id,governor_start_raw,governor_end_raw,office_type_raw,office_raw,portfolio_party_raw,person_raw,minister_start_raw,minister_end_raw,minister_party_raw,person_id,service_ids,reconciliation_status,decision_ids,notes
659,bolsonaro,01/01/2019,31/12/2022,Ministério,Turismo,ind,Marcelo Álvaro Antonio,12/11/2019,09/12/2020,PSL,person-ccda4e28f3dd,service-jair_bolsonaro-0-58,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
660,bolsonaro,01/01/2019,31/12/2022,Ministério,Turismo,sfp,Gilson Machado Neto,09/12/2020,31/03/2022,sfp,person-124094b2bfa2,service-jair_bolsonaro-0-59,affiliation difference,C013;PERSON-CONTINUITY-REVIEW;R24,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
661,bolsonaro,01/01/2019,31/12/2022,Ministério,Turismo,sfp,Carlos Alberto Gomes de Brito,31/03/2022,31/12/2022,sfp,person-5a4f56e80b67,service-jair_bolsonaro-0-60,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
662,bolsonaro,01/01/2019,31/12/2022,Ministério,"Mulher, Família e Direitos Humanos",ind,Damares Alves,01/01/2019,31/03/2022,PP,person-87ad75f8d2f9,service-jair_bolsonaro-0-63,agreement,PERSON-CONTINUITY-REVIEW;R17,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
663,bolsonaro,01/01/2019,31/12/2022,Ministério,"Mulher, Família e Direitos Humanos",REP,Cristiane Rodrigues Britto,31/03/2022,31/12/2022,REP,person-9cdf4e7199c3,service-jair_bolsonaro-0-64,date semantics,PERSON-CONTINUITY-REVIEW;R25,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
664,bolsonaro,01/01/2019,31/12/2022,Secretaria,Secretaria-Geral (modernização do Estado),PSL,Gustavo Bebbiano,01/01/2019,18/02/2019,PSL,person-b3c07bf64b96,service-jair_bolsonaro-0-33,agreement,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
665,bolsonaro,01/01/2019,31/12/2022,Secretaria,Secretaria-Geral (modernização do Estado),sfp,Floriano Peixoto,19/02/2019,20/06/2019,sfp,person-1a9f69c72058,service-jair_bolsonaro-0-34,date semantics,C043;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
666,bolsonaro,01/01/2019,31/12/2022,Secretaria,Secretaria-Geral (modernização do Estado),sfp,Jorge Oliveira,21/06/2019,31/12/2020,sfp,person-67b7120fa858,service-jair_bolsonaro-0-35,agreement,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
667,bolsonaro,01/01/2019,31/12/2022,Secretaria,Secretaria-Geral (modernização do Estado),ind,Onyx Lorenzoni,12/02/2021,28/07/2021,DEM,person-a74198f91d7f,service-9652707b0ac0;service-jair_bolsonaro-0-1;service-jair_bolsonaro-0-37;service-jair_bolsonaro-0-55,office/scope difference,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R30,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
668,bolsonaro,01/01/2019,31/12/2022,Secretaria,Secretaria-Geral (modernização do Estado),sfp,Luiz Eduardo Ramos,03/08/2021,31/12/2022,sfp,person-0fbaba5c8624,service-jair_bolsonaro-0-3;service-jair_bolsonaro-0-38;service-jair_bolsonaro-0-46,date semantics,BOL-A02;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
669,bolsonaro,01/01/2019,31/12/2022,Secretaria,Governo,sfp,Carlos Alberto dos Santos Cruz,01/01/2019,12/06/2019,sfp,person-322643379e9d,service-jair_bolsonaro-0-45,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
670,bolsonaro,01/01/2019,31/12/2022,Secretaria,Governo,sfp,Luiz Eduardo Ramos,13/06/2019,30/03/2021,sfp,person-0fbaba5c8624,service-jair_bolsonaro-0-3;service-jair_bolsonaro-0-38;service-jair_bolsonaro-0-46,date semantics,BOL-A02;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
671,bolsonaro,01/01/2019,31/12/2022,Secretaria,Governo,PL,Flávia Arruda,06/04/2021,31/03/2022,PL,person-fc5415a3bc75,service-jair_bolsonaro-0-47,date semantics,PERSON-CONTINUITY-REVIEW;R22,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
672,bolsonaro,01/01/2019,31/12/2022,Secretaria,Governo,sfp,Célio Faria Júnior,31/03/2022,31/12/2022,sfp,person-d75dc2747d17,service-jair_bolsonaro-0-48,date semantics,C039;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
489,dilma_2,01/01/2015,31/08/2016,Órgão da PR,Casa Civil,PT,Aloízio Mercadante,01/01/2015,05/10/2015,PT,person-052252ad8b69,service-dilma_rousseff-1-12;service-dilma_rousseff-1-42,office/scope difference,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
490,dilma_2,01/01/2015,31/08/2016,Órgão da PR,Casa Civil,PT,Jacques Wagner,05/10/2015,16/03/2016,PT,person-9e9d2c2a173e,service-0756ddce3efb;service-dilma_rousseff-1-13;service-dilma_rousseff-1-29,date semantics,C024;C032;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
491,dilma_2,01/01/2015,31/08/2016,Órgão da PR,Casa Civil,PT,Luís Inácio Lula da Silva,16/03/2016,18/03/2016,PT,person-1c65a93af898,service-d627a715ad62,date semantics,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
492,dilma_2,01/01/2015,31/08/2016,Órgão da PR,Casa Civil,PT,Eva Chiavon (interina),22/03/2016,11/05/2016,PT,person-884dd07ee0fc,service-C055-person-884dd07ee0fc;service-dilma_rousseff-1-15,date semantics,C031;C055;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
493,dilma_2,01/01/2015,31/08/2016,Ministério,Justiça,PT,José Eduardo Cardozo,01/01/2015,03/03/2016,PT,person-ca40dc0291e1,service-dilma_rousseff-1-2;service-dilma_rousseff-1-51,office/scope difference,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
494,dilma_2,01/01/2015,31/08/2016,Ministério,Justiça,PT,Wellington César Lima e Silva,03/03/2016,15/03/2016,sfp,person-84d03af199f4,service-84105bf0fa5f,date semantics,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
