evidence_id,asserted_fact,source_locator,publisher,publication_date,retrieval_date,access_status,rationale
prior_evidence_assertions.csv,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/prior_evidence_assertions.csv,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
BOL-L01,"Reporting his possession the previous day, the columnist explicitly says Sidônio declared that he had no party affiliation and would serve the whole government.",https://www.em.com.br/colunistas/luiz-carlos-azedo/2025/01/7034810-missao-de-sidonio-e-alavancar-a-lideranca-moral.html,Estado de Minas / Luiz Carlos Azedo,2025-01-15,,direct web open: full article text retrieved,Accepted as contemporary person-specific no-party assertion dated to January 14 possession.
BOL-E22,Contemporary account reproduces DOU acts for nine replacements and explicitly identifies Cristiane as affiliated to Republicanos. Braga Netto replacement not included until April1.,https://www.poder360.com.br/governo/bolsonaro-nomeia-ministros-substitutos-para-9-ministerios/,Poder360/Gabriella Soares,2022-03-31,,direct_web_open_text_reviewed,selected
BOL-E07,Interview profile expressly identifies Sachsida as currently affiliated with DEM; separate from his 2014 candidacy.,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2017/11/07/um-conselheiro-de-jair-bolsonaro.htm,"Estadão/Gilberto Amendola, hosted UOL",2017-11-07,,direct_web_open_text_reviewed,selected
BOL-E12,"Report says Marinho left PSDB a few days before; reproduces his confirmation. Latest possible daily boundary is June18, not June19 announcement.",https://www.cnnbrasil.com.br/politica/ministro-de-bolsonaro-marinho-deixa-o-psdb/,CNN/Daniela Lima and Renata Agostini,2020-06-19,,direct_web_open_text_reviewed,selected
BOL-E17,"DOU Ed62 section2 decree signed March30, published March31, dismisses outgoing minister and appoints incoming minister; no retroactive effect clause.",https://static.poder360.com.br/2022/03/dou-agricultura-31mar2022.pdf,"Diário Oficial da União, reproduction hosted Poder360",2022-03-31,,direct_web_pdf_text_reviewed,selected
BOL-E18,"DOU Ed62 section2 decree signed March30, published March31, dismisses outgoing minister and appoints incoming minister; no retroactive effect clause.",https://static.poder360.com.br/2022/03/dou-familia-31mar2022.pdf,"Diário Oficial da União, reproduction hosted Poder360",2022-03-31,,direct_web_pdf_text_reviewed,selected
BOL-E19,"DOU Ed62 section2 decree signed March30, published March31, dismisses outgoing minister and appoints incoming minister; no retroactive effect clause.",https://static.poder360.com.br/2022/03/dou-insfraestrutura-31mar2022.pdf,"Diário Oficial da União, reproduction hosted Poder360",2022-03-31,,direct_web_pdf_text_reviewed,selected
BOL-E20,"DOU Ed62 section2 decree signed March30, published March31, dismisses outgoing minister and appoints incoming minister; no retroactive effect clause.",https://static.poder360.com.br/2022/03/dou-turismo-31mar2022.pdf,"Diário Oficial da União, reproduction hosted Poder360",2022-03-31,,direct_web_pdf_text_reviewed,selected
V5W7E001,Ana Carla participated as acting Tourism minister in the Orla agreement ceremony on 2025-11-14; the previously retained prospective event is retrospectively confirmed.,https://minutomt.com.br/geral/brasil-mundo/ministerio-do-turismo-assina-acordo-interministerial-na-cop3o-para-dar-novo-impulso-ao-programa-orla/,"Ministerio do Turismo / Livia Albernaz, reproduced by MinutoMT",2025-11-14,2026-09-10,full_attributed_post_event_reproduction_original_gov_page_unavailable,"The attributed ministry report describes a ceremony already held on Friday14, names Ana Carla as acting minister and reports her remarks. Independent post-event reporting was also located. This verifies an actual ministerial event, not all-day exclusive incumbency or the later closing state; the signature/event alone cannot establish titular absence. Original gov URL returned403 or login redirect; attribution and original URL are preserved in the reproduction."
V5W7E004,A December6 Folhapress retrospective independently reports Sabino reassumed on December4; targeted original Chamber-diary review did not locate an assumption record resolving the existing December4-6 conflict.,https://www.acessa.com/politica/2023/12/190467-ministros-do-centrao-encaram-obstaculos-para-ampliar-alianca-de-lula-no-congresso.html,"Folhapress / Victoria Azevedo, reproduced by Acessa; Camara dos Deputados",2023-12-06,2026-09-10,full_report_and_official_diary_dispatch_review_retained,"The report says Sabino reassumed Monday4 and attended the Senate meeting that day; it is retrospective, not merely the decree publication. This corroborates already retained CNN/Senate evidence but does not eliminate the contrary actual December5 parliamentary roll call or December6 legislative licence. Text searches and targeted OCR of dispatch sections in nine December6-16 diaries located no exact handoff record; that bounded search failure proves no absence."
C067,Paulo Pedrosa: documented earlier personal PSDB membership and retrospective nonpartisan ministry description bound the credible affiliation alternatives; exact personal status remains unresolved,https://www.folhadelondrina.com.br/politica/programa-do-psdb-tenta-esclarecer-pacote-fiscal-51321.html;https://www.paranoaenergia.com.br/opiniao-do-editor/2018/02/21/batata-assa-para-o-lado-de-paulo-pedrosa/;https://www.paranoaenergia.com.br/manchete/2019/01/22/paulo-pedrosa-volta-presidencia-da-abrace/;https://www.paranoaenergia.com.br/opiniao-do-editor/2019/11/14/politicos-com-olho-grande-no-mme/;https://www12.senado.leg.br/noticias/materias/2001/05/02/diretor-indicado-da-aneel-anuncia-que-governo-devera-adotar-racionamento,"Agencia Estado/Folha de Londrina; Mauricio Correa, Paranoa Energia; Senado Federal",1997-11-22;2018-02-21;2019-01-22;2019-11-14;2001-05-02,2026-09-10,indexed_source_text;direct_open_failed_for_some_pages,"Preserve unresolved personal status between PSDB and UNAFFILIATED, rather than claim an exact departure date. Agencia Estado on November 22 1997 identifies Pedrosa as national PSDB executive secretary; contemporaneous February 21 2018 specialist reporting explicitly describes him as a former card-carrying tucano, connecting the same person to his subsequent Aneel and MME career. The January 22 2019 profile connects his departure from party politics before Aneel to his 2016-18 ministry service; November 14 2019 reporting retrospectively describes the ministry executive team under his command as apartidarios. The latter collective description is weaker than a personal affiliation certificate and does not establish the date of formal departure. These sources nevertheless bound the supported alternatives to continued PSDB affiliation or non-affiliation during the six service spells. Targeted searches for a new affiliation, departure or denial found no specific other-party event; PCdoB results concern a different cultural official. The alternatives are a documented historical adjudication, not a proof of every imaginable affiliation. Other qualifying ministers must independently represent PSDB throughout each spell before the builder can establish the aggregate; the personal record remains UNKNOWN. Formal vacancy service under C041 remains included, with no invented continuity of the departed titular."
OFF-013,2017 law explicitly lists MDIC and Segov minister status; present source allowlist omits both despite retained raw person rows.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13502.htm,Presidência da República,2017-11-03,,inherited_audit,
OFF-010,"AMB president attended March3 transmission ceremony for new Justice minister; this establishes actual entry, unlike Decotelli.",https://www.amb.com.br/ministro-wellington-cesar-toma-posse-como-novo-ministro-da-justica/,Associação dos Magistrados Brasileiros,2016-03-03,,inherited_audit,
OFF-004,"Article25 enumerates ministries and extends Minister of State treatment to named presidential offices, AGU and BCB; historical amendments must be selected as of January2015 rather than reading latest strikethrough text.",https://www.planalto.gov.br/ccivil_03/leis/2003/l10.683.htm,Presidência da República,2003-05-29,,inherited_audit,
OFF-019,BCB president explicitly holds Minister of State status pending autonomy.,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13844.htm,Presidência da República,2019-06-18,,inherited_audit,
OFF-009,CJF official DOU digest records Jaques Wagner appointment to Gabinete Pessoal and Wellington César dismissal from Justice.,https://www.cjf.jus.br/cjf/noticias/2016-1/marco/douinforme-17-03-1.2016,Conselho da Justiça Federal,2016-03-17,,inherited_audit,
OFF-022,Campos Neto took office in private ceremony February28; later public transmission ceremony was separate.,https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2019/02/28/campos-neto-toma-posse-como-presidente-do-banco-central.htm,Agência Brasil/UOL,2019-02-28,,inherited_audit,
OFF-007,Ceremony for ten reshuffled ministers scheduled for2015-10-05; source dates2015-10-02 therefore cannot automatically establish actual service.,https://legis.senado.leg.br/escriba-servicosweb/sessao/pdf/3585,Senado Federal,2015-10-05,,inherited_audit,
OFF-041,"Chamber diary explicitly states July18 taking-office date, communication receivedJuly21; August3 ceremony cannot replace actual service.",https://imagem.camara.gov.br/Imagem/d/pdf/DCD0020230722001330000.PDF,Câmara dos Deputados,2023-07-22,,inherited_audit,
OFF-017,Contemporaneous report says Edson Duarte is affiliated with PV and assumed ministry in April.,https://www.correiobraziliense.com.br/app/noticia/cidades/2018/11/21/interna_cidadesdf%2C720566/ibaneis-anuncia-mais-quatro-secretarios-para-o-novo-governo.shtml,Correio Braziliense,2018-11-21,,inherited_audit,
OFF-045,Contemporary report explicitly says Durigan took office morningMarch20.,https://www.jornaldocomercio.com/economia/2026/03/1241617-novo-ministro-durigan-diz-que-trabalho-na-fazenda-sera-de-continuidade-da-gestao-haddad.html,Jornal do Comércio,2026-03-20,,inherited_audit,
OFF-047,Contemporary report records Lula signing termMarch17 and Wagner/Mauro/Eugênio ceremony same day; suspension legal history must be resolved separately.,https://www.correio24horas.com.br/brasil/sob-protestos-ex-presidente-lula-toma-posse-como-ministro-da-casa-civil-0316,Correio,2016-03-17,,inherited_audit,
OFF-025,DOU decree publishedMarch31 appoints Oliveira to Labor/Previdência. Contemporary ceremony account says he signed term that morning.,https://sintse.tse.jus.br/documentos/2022/Mar/31/para-conhecimento-institucional/decretos-de-30-de-marco-de-2022-exonera-a-pedido-tarcisio-gomes-de-freitas-do-cargo-de-ministro-de-e,Imprensa Nacional via TSE,2022-03-31,,inherited_audit,
OFF-044,Decrees signedMarch19 are in March20 DOU; Dario appointed and Haddad dismissed.,https://static.poder360.com.br/2026/03/Lula-exonera-Haddad-DOU-19-mar-2026.pdf,Imprensa Nacional via Poder360,2026-03-20,,inherited_audit,
OFF-038,Decreto12169 reorganizes Casa Civil and creates subordinate temporary reconstruction support secretariat; effective clauses must distinguish administrative reorganization from MP ministerial cargo expiry.,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12169.htm,Presidência da República,2024-09-10,,inherited_audit,
OFF-001,Existing analysis starts 2015-01-01; source snapshot ends 2026-03-19 inclusive.,scraping/data/cabinet_source_snapshot.json; scraping/reconstruct_cabinet_timeline.py,Local research project,2026-08-28,,inherited_audit,
OFF-002,"Four relevant pinned cabinet tables contain 273 person rows after removing 3 structural rows; 257 included keys plus 16 omitted person rows. This is a source inventory, not certified officeholding census.",scraping/data/wikipedia_pinned/,Local scratch inspection of pinned Wikimedia tables,,,inherited_audit,
OFF-018,January3 report says executive secretary assumes MDIC after Marcos Pereira resignation; source January4 start requires effective-service reconciliation.,https://exame.com/brasil/secretario-executivo-vai-comandar-mdic-ate-definicao-de-temer,Exame/Agência Brasil,2018-01-03,,inherited_audit,
OFF-020,"LC179 transforms Minister of State President of BCB into Natureza Especial president and repeals ministry-status clause, effective publication2021-02-25.",https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp179.htm,Presidência da República,2021-02-25,,inherited_audit,
OFF-016,"MMA explicitly calls Duarte substitute minister in April24 official activity account, during vacancy after Sarney Filho departure.",https://antigo.mma.gov.br/informma/item/14741-noticia-acom-2018-04-2968.html,Ministério do Meio Ambiente,2018-04-24,,inherited_audit,
OFF-023,"MP1058 creates ministry and Minister of State cargo; legal effective creation is publication2021-07-28, not2019 source date.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/mpv/mpv1058.htm,Presidência da República,2021-07-28,,inherited_audit,
OFF-035,"MP1154 enumerates ordinary ministries and presidential chiefs with Minister of State status including Secom, SRI, SG, Casa Civil, GSI and AGU.",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/mpv/mpv1154.htm,Presidência da República,2023-01-01,,inherited_audit,
OFF-036,"MP1187 creates ministry and Minister of State cargo, effective extra-edition publicationSeptember13.",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/mpv/mpv1187.htm,Presidência da República,2023-09-13,,inherited_audit,
OFF-037,"MP1220 creates extraordinary secretariat and named Minister of State post, effectiveMay15; statutory expiry formula is not itself September10/12.",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/mpv/mpv1220.htm,Presidência da República,2024-05-15,,inherited_audit,
OFF-005,MP696 abolishes ministerial posts and transforms others. Cargo transformations/extinctions take immediate effect on publication 2015-10-05; changes to organ structures await respective regimental decrees.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/mpv/mpv696.htm,Presidência da República,2015-10-05,,inherited_audit,
OFF-012,"MP726 takes effect2016-05-12, immediately for cargo transformations/extinctions; organ structure changes have separate effective clauses. Revokes MP717.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/mpv/mpv726.htm,Presidência da República,2016-05-12,,inherited_audit,
OFF-014,MP768 creates/re-establishes these ministerial posts; legal creation is distinct from first occupants February3.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/mpv/mpv768.htm,Presidência da República,2017-02-03,,inherited_audit,
OFF-048,"MP980 creates Communications ministry from previous science/communications structure; exact cargo change is June10 extra edition, prior Fábio service startsJune17.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/mpv/mpv980.htm,Presidência da República,2020-06-10,,inherited_audit,
OFF-049,Marcos Jorge listed as PRB in April10 ministerial ceremony roster.,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/10/temer-da-posse-a-novos-ministros.htm,UOL,2018-04-10,,inherited_audit,
OFF-008,"Natureza Especial personal cabinet chief becomes a Minister of State post, immediately on extra-edition publication2016-03-16.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/mpv/mpv717.htm,Presidência da República,2016-03-16,,inherited_audit,
OFF-032,Official Chamber diary records Onyx request for leave effective2018-11-05 to exercise Minister of State Extraordinário office.,https://imagem.camara.gov.br/Imagem/d/pdf/DCD0020181106001810000.PDF,Câmara dos Deputados,2018-11-06,,inherited_audit,
OFF-026,Official Cámara biography gives parliamentary leave from2021-03-31 to assume Segov.,https://www.camara.leg.br/deputados/204354/biografia,Câmara dos Deputados,,,inherited_audit,
OFF-024,Official Câmara leave begins2021-07-28 to assume Labor/Previdência ministry.,https://www.camara.leg.br/deputados/74399/biografia,Câmara dos Deputados,,,inherited_audit,
OFF-015,"Official MMA gallery lists Edson Duarte as minister April2018 to January2019. The source blank office cell caused omission, not lawful exclusion.",https://www.gov.br/mma/pt-br/acesso-a-informacao/institucional-quem-e-quem/1-1-estrutura-organizacional-organograma/galeria-de-ministros,Ministério do Meio Ambiente,,,inherited_audit,
OFF-028,Official Segov account dates public possession ceremony2021-04-06.,https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/assuntos/noticias/ultimas-noticias-1/ministra-flavia-arruda-toma-posse-na-secretaria-de-governo-da-presidencia-da-republica/,Secretaria de Governo,2021-04-06,,inherited_audit,
OFF-021,Official gallery: Tombini2011-01-01 to2016-06-09; Ilan2016-06-09 to2019-02-28; Campos Neto2019-02-28 onward. Gallery explicitly uses decree-publication dates and excludes vacation/travel substitutes.,https://bcb.gov.br/acessoinformacao/galeriaexpresidentes,Banco Central do Brasil,,,inherited_audit,
OFF-042,Official presidency account distinguishes September27 ceremony from performance of duties sinceSeptember11.,https://agenciagov.ebc.com.br/noticias/202409/presidente-empossa-nova-ministra-de-direitos-humanos-e-da-cidadania-macae-evaristo,Presidência da República/Agência Gov,2024-09-27,,inherited_audit,
OFF-027,Official responsibility roster separates appointment-act date and management period: Flávia decreeMarch30/managementMarch31; Ramos CasaCivil managementApril1; Ramos SGJuly28. Ciro row has apparently inconsistent March30 appointment date.,https://www.gov.br/secretariageral/pt-br/acesso-a-informacao/transparencia-e-prestacao-de-contas-pr/2021/rol-de-responsaveis-30jul2021_primeiro-envio-da-digep.pdf,Secretaria-Geral/Presidência,2021-07-30,,inherited_audit,
OFF-033,"Onyx signs administrative appointment as Minister of State Extraordinary transition coordinator December11, citing November1 appointment decree.",https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?captchafield=firstAccess&data=12%2F12%2F2018&jornal=529&pagina=1,Imprensa Nacional,2018-12-12,,inherited_audit,
OFF-031,"President may appoint transition coordinator Minister Extraordinário only if federal legislator; this is a separate option from CETG-VII, which then cannot be filled.",https://www.planalto.gov.br/ccivil_03/leis/2002/l10609.htm,Congresso Nacional/Presidência,2002-12-23,,inherited_audit,
OFF-030,Presidential agenda reported July8 includes Vogel as acting Education minister; source malformed multiple dates must not cause complete disappearance.,https://www2.senado.leg.br/bdsf/bitstream/handle/id/575327/noticia.html?isAllowed=y&sequence=1,Correio Braziliense archived by Senado,2020-07-08,,inherited_audit,
OFF-006,Previdência cargo transforms to Trabalho e Previdência; Secretaria-Geral cargo to Secretaria de Governo; Direitos Humanos cargo to Mulheres/Igualdade Racial/Direitos Humanos.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/mpv/mpv696.htm,Presidência da República,2015-10-05,,inherited_audit,
OFF-040,"Prior Casa Civil account says September12 expiry/return, versus pinnedSeptember10; current official page is temporarily disabled due election rules.",https://agenciagov.ebc.com.br/noticias/202409/secretaria-da-reconstrucao-rio-grande-sul-casa-civil,Casa Civil/Agência Gov,2024-09-10,,inherited_audit,
OFF-029,Prior audit official DOU lead renders June25 appointment ineffective; contemporary reporting says he never assumed office.,https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?captchafield=firstAccess&data=01%2F07%2F2020&jornal=529&pagina=1,Imprensa Nacional,2020-07-01,,inherited_audit,
OFF-046,Prior official ceremony account datesJanuary15; prior evidence also reports signing aJanuary14 act as minister.,https://agenciagov.ebc.com.br/noticias/202601/presidente-lula-empossa-novo-ministro-da-justica-e-seguranca-publica-wellington-cesar-lima-e-silva,Presidência da República/Agência Gov,2026-01-15,,inherited_audit,
OFF-043,Public term-of-office ceremony occursJanuary14; same-day DOU appoints Sidônio and dismisses Pimenta. January7 source start is announcement.,https://www.gov.br/mds/pt-br/noticias-e-conteudos/desenvolvimento-social/noticias-desenvolvimento-social/em-cerimonia-de-posse-ministro-sidonio-palmeira-defende-combate-as-fake-news/,Ministério do Desenvolvimento e Assistência Social,2025-01-14,,inherited_audit,
OFF-011,Reuters reports March9 STF decision requiring choice between MP career and ministerial office; a later judicial problem is not proof no initial service occurred.,https://noticias.uol.com.br/ultimas-noticias/reuters/2016/03/09/wellington-cesar-tera-de-deixar-mp-caso-queira-ser-ministro-da-justica-decide-stf.htm,Reuters/UOL,2016-03-09,,inherited_audit,
OFF-039,September12 DOU mirror records Pimenta appointment to Secom and Hassen appointment as temporary CCE1.17 reconstruction secretary.,https://www.escavador.com/diarios/5963538/DOU/secao-2/2024-09-12,Imprensa Nacional via Escavador,2024-09-12,,inherited_audit,
OFF-034,"TCU analysis distinguishes Alckmin CETG from statutory extraordinary minister: not a federal legislator, but equivalent hierarchy for admissibility of that consultation.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/Ac%25C3%25B3rd%25C3%25A3o%2520169%252F2021%2520Plen%25C3%25A1rio/%2520%2520%2520/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/2,Tribunal de Contas da União,,,inherited_audit,
OFF-050,"The party lists one serving minister, Marcos Jorge, in its May2018 organizational inventory.",https://republicanos10.org.br/wp-content/uploads/dlm_uploads/2015/09/quadro-prb-hoje-com-dados-eleicoes-2016-3.pdf,PRB/Republicanos,2018-05,,inherited_audit,
OFF-051,Torres took office in Justice and Mendonça returned to AGU in closed ceremonies reportedMarch30.,https://economia.uol.com.br/noticias/reuters/2021/03/30/anderson-torres-toma-posse-na-justica-e-mendonca-reassume-agu-em-cerimonias-fechadas.amp.htm,Reuters/UOL,2021-03-30,,inherited_audit,
OFF-003,load_allowed_roles reads an undated serialized Wikipedia-derived list; extract_records silently skips unmatched labels. No legal status date gates exist.,scraping/reconstruct_cabinet_timeline.py,Local research project,,,inherited_audit,
C005,Prior evidence LEG-4e35512833d0 records explicit PT membership before the April 2016 acting tenure.,"https://www1.folha.uol.com.br/fsp/brasil/fc2410200702.htm | https://www.correiobraziliense.com.br/app/noticia/economia/2011/03/25/internas_economia,244489/para-acalmar-pt-e-pmdb-dilma-rousseff-muda-comando-da-caixa.shtml",Folha de S.Paulo; Correio Braziliense,2007-10-24;2011-03-25,2026-09-10,inherited_specific_affiliation_assertion_reexamined,"Apply the same forward-continuity rule used for affiliated incumbents after targeted departure/expulsion searches. No documented departure was found. Retain conflicting Spanish cabinet compilation no-party label as person-level alternative; PT has independent witnesses throughout, so uncertainty is composition-neutral."
V5W5E004,"Jonathas Petrobras reference filing contains independence and PEP declarations, not personal non-affiliation",https://www.latibex.com/docs/Documentos/LED/2022/09/21/TRACN_20220920_000000_A99_120659_20220101_DOC001.pdf,Petrobras issuer filing hosted by Latibex,2022-09-20,2026-09-10,issuer_original_pdf_retrieved_scoped_pages_reviewed,"Newly retrieved issuer-authored Petrobras 2022 reference form version 7, available in Latibex September 21 2022, identifies the exact full name and Casa Civil office. Physical page 532 (printed page 527) records self-declared corporate independence, politically exposed person status and absence of specified convictions. Physical pages 526,538,572,574,575 add board appointment, committee/subordination information. None states personal party affiliation or non-affiliation. The N/A rows concern a different disclosure field and cannot be recoded as unaffiliated. Legacy Petrobras assembly link fails DNS; official August 15 2022 announcement confirms nomination only. Retain UNKNOWN for December 30-31 2022; these findings also cannot resolve March 30 2021 and are not backprojected there."
LEG-6eb6d5643016,Agência Brasil appointment-day biography explicitly states PT affiliation since the 1980s.,https://exame.com/brasil/dilma-da-posse-aos-ministros-da-justica-da-agu-e-da-cgu/,not_normalized_in_prior_ledger,2016-03-03,,not_individually_retrieved_by_inventory_projection,
LEG-f3dd9541904a,Agência Brasil appointment-day report explicitly says unaffiliated after leaving Podemos; PP membership prospective.,https://exame.com/brasil/nomeacao-de-baldy-para-cidades-e-publicada-no-diario-oficial/,not_normalized_in_prior_ledger,2017-11-22,,not_individually_retrieved_by_inventory_projection,
LEG-607f4976d0f0,Agência Brasil report identifies Onyx as DEM when appointed to the Secretariat-General.,https://jc.uol.com.br/politica/2021/02/12029749-bolsonaro-nomeia-deputado-joao-roma-para-o-ministerio-da-cidadania.html,not_normalized_in_prior_ledger,2021-02-12,,not_individually_retrieved_by_inventory_projection,
LEG-e0e860c3a1e2,Agência Brasil report of appointment identifies João Roma as Republicanos.,https://jc.uol.com.br/politica/2021/02/12029749-bolsonaro-nomeia-deputado-joao-roma-para-o-ministerio-da-cidadania.html,not_normalized_in_prior_ledger,2021-02-12,,not_individually_retrieved_by_inventory_projection,
LEG-7076a873efe6,Appointment announcement explicitly identifies PMDB affiliation; November 2015 PDT entry is later.,https://www.gazetadopovo.com.br/vida-publica/dilma-faz-a-primeira-troca-ministerial-do-segundo-mandato-ejjoezl52abzjdoyyx324m2q6/,not_normalized_in_prior_ledger,2015-02-03,,not_individually_retrieved_by_inventory_projection,
LEG-27cb82daf344,Appointment announcement identifies Pontes as PSL; the November 26 incoming-cabinet roster independently agrees.,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/10/31/bolsonaro-confirma-marcos-pontes-para-o-ministerio-da-ciencia-e-tecnologia.htm,not_normalized_in_prior_ledger,2018-10-31,,not_individually_retrieved_by_inventory_projection,Later PL membership must not be back-projected; this PSL origin survives the 2020 tourism replacement and the 2022 merger.
LEG-4bd5de62c2aa,Appointment profile describes PMDB nomination and technical credentials but does not establish formal affiliation. Applies separately to both Dilma and Temer appointment records.,https://carf.economia.gov.br/acesso-a-informacao/imprensa/marco-2016/30_03_2016.pdf,not_normalized_in_prior_ledger,2016-03-30,,not_individually_retrieved_by_inventory_projection,Diagnostic only: unresolved party is not an unaffiliated classification; do not use in production.
LEG-b9d4dcb53939,Appointment profile describes PMDB nomination and technical credentials but does not establish formal affiliation. Applies separately to both Dilma and Temer appointment records.,https://carf.economia.gov.br/acesso-a-informacao/imprensa/marco-2016/30_03_2016.pdf,not_normalized_in_prior_ledger,2016-03-30,,not_individually_retrieved_by_inventory_projection,Diagnostic only: unresolved party is not an unaffiliated classification; do not use in production.
LEG-e5f7ea3a676b,Appointment profile states never affiliated with PT; consistent explicit independent classification in January and October 2015 directories.,https://m.folha.uol.com.br/mercado/2015/12/1720985-conheca-o-novo-ministro-da-fazenda-nelson-barbosa.shtml,not_normalized_in_prior_ledger,2015-12-18,,not_individually_retrieved_by_inventory_projection,
LEG-bca3c6c6edac,Appointment report does not explicitly identify party; September roster says no party without establishing May appointment status.,https://noticias.uol.com.br/politica/ultimas-noticias/2024/05/15/pimenta-e-novo-ministro-de-reconstrucao-do-rs-informa-diario-oficial.htm | https://www.cartacapital.com.br/politica/com-macae-nos-direitos-humanos-veja-a-divisao-da-esplanada-dos-ministerios-por-partidos/,not_normalized_in_prior_ledger,2024-05-15 | 2024-09-09,,not_individually_retrieved_by_inventory_projection,INCLUDED_UNRESOLVED in diagnostic with original dates. Additional bounded search did not establish party on the retained appointment date; no affiliation inferred from pinned party label or career.
LEG-84e6fcc03e23,Appointment report explicitly identifies Márcia Lopes as PT.,https://www.estadaomatogrosso.com.br/brasil/lula-demite-cida-goncalves-e-escolhe-marcia-lopes-como-nova-ministra/113038,not_normalized_in_prior_ledger,2025-05-05,,not_individually_retrieved_by_inventory_projection,
