previous_period_id,previous_dependency,previous_person_name,office_id,start_inclusive,end_exclusive,disposition,current_service_ids,current_affiliation_ids,resolved_succession,remaining_dependencies,days_still_blocked,primary_unfilled_days,evidence_ids,decision_ids
bolsonaro-2021-02-12,office:gap-75d2cc0f0c95,,bolsonaro-relacoes-exteriores,2021-02-12,2021-03-31,historical_dependency_retained_primary_filled_by_assumption,service-C063-otavio-brandelli;service-jair_bolsonaro-0-21,affiliation-C063-otavio-brandelli-2021-03-30;affiliation-c97f93e89378,Otávio Brandelli 2021-03-30/2021-03-31 vacancy_acting | Ernesto Araújo 2021-02-12/2021-03-30 titular,person-otavio-brandelli,1,0,C049;C063;C072;LEG-4e7ce6988315;V5W4E002,C049;C063;C072;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W4D002
bolsonaro-2021-02-12,office:gap-abb1a128205d,,bolsonaro-secretaria-governo,2021-02-12,2021-03-31,historical_dependency_retained_primary_filled_by_assumption,service-C059-person-jonathas-assuncao-salvador-nery-de-castro;service-jair_bolsonaro-0-46,affiliation-C059-jonathas-2021;affiliation-af83eeeb3849,Jonathas Assunção Salvador Nery de Castro 2021-03-30/2021-03-31 vacancy_acting | Luiz Eduardo Ramos 2021-02-12/2021-03-30 titular,person-jonathas-assuncao-salvador-nery-de-castro,1,0,C036;C049;C059;LEG-ce9aa704d046;V5W4E003,BOL-A02;C036;C049;C059;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W4D003
bolsonaro-2021-02-12,office:gap-dc0d1a34d9b3,,bolsonaro-casa-civil,2021-02-12,2021-03-31,historical_dependency_retained_primary_filled_by_assumption,service-C058-sergio-jose-pereira;service-jair_bolsonaro-0-2,affiliation-3c864edbf9c2;affiliation-C058-sergio-jose-pereira-2021-03-30;affiliation-fc3b7dc6d606,Sérgio José Pereira 2021-03-30/2021-03-31 vacancy_acting | Walter Braga Netto 2021-02-12/2021-03-30 titular,person-sergio-jose-pereira,1,0,C049;C058;LEG-62197e617b7c;LEG-dacd12d72fdc;V5W4E001,C049;C058;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W4D001
bolsonaro-2021-02-12,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2021-02-12,2021-03-31,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2021-02-12/2021-03-30 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2021-03-31,office:gap-75d2cc0f0c95,,bolsonaro-relacoes-exteriores,2021-03-31,2021-04-06,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-22,affiliation-ba139ab01c35,Carlos França 2021-03-31/2021-04-06 titular,,0,0,ATLAS-626;C072;LEG-9dd6c6a98b8f,C072;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2021-03-31,office:gap-dc0d1a34d9b3,,bolsonaro-casa-civil,2021-03-31,2021-04-06,historical_dependency_retained_primary_filled_by_assumption,service-C058-sergio-jose-pereira;service-jair_bolsonaro-0-3,affiliation-C058-sergio-jose-pereira-2021-03-30;affiliation-af83eeeb3849,Sérgio José Pereira 2021-03-31/2021-04-01 vacancy_acting | Luiz Eduardo Ramos 2021-04-01/2021-04-06 titular,person-sergio-jose-pereira,1,0,C058;LEG-ce9aa704d046;LEG-ebe4d4a81d54;V5W4E001,BOL-A02;C058;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W4D001
bolsonaro-2021-07-28,office:gap-36602b281a81,,bolsonaro-casa-civil,2021-07-28,2021-08-04,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-4,affiliation-a111766803f9,Ciro Nogueira 2021-07-28/2021-08-04 titular,,0,0,C010;C036;LEG-d1a5739ab53a,C010;C036;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2021-08-06,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2021-08-06,2022-02-08,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2021-08-06/2022-02-08 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-02-08,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-02-08,2022-03-24,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-02-08/2022-03-24 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-24,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-03-24,2022-03-27,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-03-24/2022-03-27 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-27,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-03-27,2022-03-28,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-03-27/2022-03-28 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-28,office:gap-9fa4901067f0,,bolsonaro-educacao,2022-03-28,2022-03-30,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-44,affiliation-9be8f2d57a25,Victor Godoy Veiga 2022-03-28/2022-03-30 vacancy_acting_then_titular,,0,0,ATLAS-635;C022;C048;LEG-ae1c28478e53,C022;C048;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-28,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-03-28,2022-03-30,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-03-28/2022-03-30 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-28,person-ad64ef4485f1,Victor Godoy Veiga,bolsonaro-educacao,2022-03-28,2022-03-30,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-44,affiliation-9be8f2d57a25,Victor Godoy Veiga 2022-03-28/2022-03-30 vacancy_acting_then_titular,,0,0,ATLAS-635;C022;C048;LEG-ae1c28478e53,C022;C048;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-30,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-03-30,2022-03-31,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-03-30/2022-03-31 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-03-31,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-03-31,2022-05-11,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-03-31/2022-05-11 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-05-11,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,2022-05-11,2023-01-01,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-32,affiliation-3abb361cc0b0,Bruno Bianco Leal 2022-05-11/2023-01-01 titular,,0,0,C014;LEG-0619874c39e2,C014;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2022-05-11,person-561613fe4a6e,Maria Estella Dantas Antonichelli,bolsonaro-comunicacoes,2022-05-11,2023-01-01,historical_dependency_retained_primary_filled_by_assumption,service-jair_bolsonaro-0-11,affiliation-49705e8c67b1,Maria Estella Dantas Antonichelli 2022-12-21/2023-01-01 vacancy_acting,person-561613fe4a6e,11,0,C028;LEG-3f060ebf15da;V5W5E002;V5W5E003,C028;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W5D002;V5W5D003
dilma_2-2015-03-25,office:gap-5eb3b5d9a180,,dilma_2-comunicacao-social,2015-03-25,2015-03-31,resolved_by_service_and_affiliation_adjudication,service-C029-messias-secom,affiliation-C029-messias-none,Roberto Bocorny Messias 2015-03-25/2015-03-31 vacancy_acting,,0,0,C029,C029
dilma_2-2015-04-07,office:gap-0df65eff6fe6,,dilma_2-relacoes-institucionais,2015-04-07,2015-10-05,resolved_by_explicit_office_vacancy_adjudication,,, VACANT_FUNCTIONS_REASSIGNED: C023: no separately appointed SRI minister; functions assigned to vice presidency. Office legally abolished October 5.,,0,0,C023,
dilma_2-2015-04-07,office:gap-1300879b03fd,,dilma_2-pesca-e-aquicultura,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-58,affiliation-d5b00c2a9cef,Helder Barbalho 2015-04-07/2015-10-05 titular,,0,0,C024;C032;LEG-1591c82663db;LEG-ed798dddc06b,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-1532020138d2,,dilma_2-educacao,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-41,affiliation-a81911cad39b,Renato Janine Ribeiro 2015-04-07/2015-10-05 titular,,0,0,C024;LEG-5819c21b71da,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-24fbcafbaa44,,dilma_2-politicas-para-as-mulheres,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-61,affiliation-270df0f8e42e,Eleonora Menicucci 2015-04-07/2015-10-05 titular,,0,0,C024;LEG-92ed8875155b,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-27f43e69f97a,,dilma_2-assuntos-estrategicos,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-5;service-dilma_rousseff-1-6,affiliation-56398b55c5be;affiliation-f0ad6d190b88,Roberto Mangabeira Unger 2015-04-07/2015-09-14 titular | Vitor Pinto Chaves 2015-09-14/2015-10-05 titular,,0,0,C018;C024;LEG-7076a873efe6;LEG-f2d52d14d0bb,C018;C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-9125ef36bc18,,dilma_2-previdencia-social,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-65,affiliation-3fe827923a90,Carlos Eduardo Gabas 2015-04-07/2015-10-05 titular,,0,0,C024;LEG-b3f068a0416e,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-987223707daa,,dilma_2-politicas-de-promocao-da-igualdade-racial,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-48,affiliation-868ac39afc7e,Nilma Lino Gomes 2015-04-07/2015-10-05 titular,,0,0,C024;C032;LEG-761e73bcf196;LEG-bcc69be0973d,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-bd3033c578fc,,dilma_2-micro-e-pequena-empresa,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-55,affiliation-35e1570fff93,Guilherme Afif Domingos 2015-04-07/2015-10-05 titular,,0,0,C024;LEG-ea956fb419a3,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,office:gap-e17b4ce86792,,dilma_2-gsi,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-47,affiliation-c3648fda53b0,José Elito Carvalho Siqueira 2015-04-07/2015-10-05 titular,,0,0,C024;LEG-3274ba9a4075,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-04-07,person-df16b033f6c7,Vitor Pinto Chaves,dilma_2-assuntos-estrategicos,2015-04-07,2015-10-05,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-6,affiliation-f0ad6d190b88,Vitor Pinto Chaves 2015-09-14/2015-10-05 titular,,0,0,C018;C024;LEG-f2d52d14d0bb,C018;C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-12-04,office:gap-dbaa3148d7cd,,dilma_2-aviacao-civil,2015-12-04,2015-12-09,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-7;service-dilma_rousseff-1-8,affiliation-1acf6c75b9f2;affiliation-518560e30e49,Eliseu Padilha 2015-12-04/2015-12-08 titular | Guilherme Walder Mora Ramalho 2015-12-08/2015-12-09 vacancy_acting,,0,0,ATLAS-551;C021;LEG-d2f12b350683;LEG-f1b582114b4b,ATLAS-551;ATLAS-554;C021;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2015-12-04,person-cd7eec731906,Guilherme Walder Mora Ramalho,dilma_2-aviacao-civil,2015-12-04,2015-12-09,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-8,affiliation-1acf6c75b9f2,Guilherme Walder Mora Ramalho 2015-12-08/2015-12-09 vacancy_acting,,0,0,ATLAS-551;C021;LEG-f1b582114b4b,ATLAS-551;ATLAS-554;C021;PERSON-CONTINUITY-REVIEW
dilma_2-2015-12-18,office:gap-e5a104c25a54,,dilma_2-planejamento,2015-12-18,2015-12-21,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-59,affiliation-bbe72215419d,Nelson Barbosa 2015-12-18/2015-12-21 titular,,0,0,C030;LEG-50db413117de;LEG-e5f7ea3a676b,C030;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-03-16,office:gap-15b823bad23e,,dilma_2-casa-civil,2016-03-16,2016-03-17,resolved_by_service_and_affiliation_adjudication,service-C055-person-884dd07ee0fc,affiliation-d8954b97c63c,Eva Chiavon 2016-03-16/2016-03-17 vacancy_acting,,0,0,C031;C055;LEG-f7165c075478,C031;C055;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-03-16,office:gap-6aabec277edd,,dilma_2-gabinete-pessoal,2016-03-16,2016-03-17,resolved_by_explicit_office_vacancy_adjudication,,, VACANT_PENDING_FIRST_MINISTER: C050: legally created ministerial office awaiting first actual ministerial possession; administrative support does not appoint a minister.,,0,0,C050,
dilma_2-2016-03-18,office:gap-eb6d519a2c1d,,dilma_2-casa-civil,2016-03-18,2016-03-22,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-15,affiliation-d8954b97c63c,Eva Chiavon 2016-03-18/2016-03-22 vacancy_acting,,0,0,C031;C055;LEG-f7165c075478,C031;C055;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-03-28,person-9cf6aaca0bc9,Alberto Alves,dilma_2-turismo,2016-03-28,2016-03-31,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-77,affiliation-8527ce77d2d2,Alberto Alves 2016-03-28/2016-03-31 titular,,0,0,C019;LEG-4bd5de62c2aa,C019;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-03-31,person-9cf6aaca0bc9,Alberto Alves,dilma_2-turismo,2016-03-31,2016-04-14,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-77,affiliation-8527ce77d2d2,Alberto Alves 2016-03-31/2016-04-14 titular,,0,0,C019;LEG-4bd5de62c2aa,C019;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-14,person-74c3b4df9e1a,Maria Fernanda Ramos Coelho,dilma_2-desenvolvimento-agrario,2016-04-14,2016-04-19,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-32,affiliation-b5e73dd9d2f3,Maria Fernanda Ramos Coelho 2016-04-14/2016-04-19 titular,,0,0,C005;LEG-4e35512833d0,C005;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-14,person-9cf6aaca0bc9,Alberto Alves,dilma_2-turismo,2016-04-14,2016-04-19,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-77,affiliation-8527ce77d2d2,Alberto Alves 2016-04-14/2016-04-19 titular,,0,0,C019;LEG-4bd5de62c2aa,C019;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-14,person-e3b49350bd7a,Emília Maria Silva Ribeiro Curi,dilma_2-ciencia-tecnologia,2016-04-14,2016-04-19,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-18,affiliation-bf2c58ba8453,Emília Maria Silva Ribeiro Curi 2016-04-14/2016-04-19 titular,,0,0,C017;LEG-3adefb71d2bc,C017;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-14,person-ffd279a48828,Josélio de Andrade Moura,dilma_2-integracao,2016-04-14,2016-04-19,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-50,affiliation-47d73aaf6f1d,Josélio de Andrade Moura 2016-04-14/2016-04-19 vacancy_acting,,0,0,C016;LEG-69449ca60500,C016;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-19,person-9b5ce7be473f,Marco Antônio Martins Almeida,dilma_2-minas-e-energia,2016-04-19,2016-05-12,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-57,affiliation-3788fbf471f6,Marco Antônio Martins Almeida 2016-04-22/2016-05-12 titular,,0,0,ATLAS-580;C009;LEG-eb980c56cacd,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-19,person-9cf6aaca0bc9,Alberto Alves,dilma_2-turismo,2016-04-19,2016-05-12,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-77,affiliation-8527ce77d2d2,Alberto Alves 2016-04-19/2016-04-21 titular,,0,0,C019;LEG-4bd5de62c2aa,C019;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-19,person-c1f238f4da7e,Maurício Muniz Barreto de Carvalho,dilma_2-portos,2016-04-19,2016-05-12,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-64,affiliation-f443e02e8e29,Maurício Muniz Barreto de Carvalho 2016-04-22/2016-05-12 titular,,0,0,ATLAS-549;C009;LEG-a4defbba80f9,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-04-19,person-e3b49350bd7a,Emília Maria Silva Ribeiro Curi,dilma_2-ciencia-tecnologia,2016-04-19,2016-05-12,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-18,affiliation-bf2c58ba8453,Emília Maria Silva Ribeiro Curi 2016-04-19/2016-05-12 titular,,0,0,C017;LEG-3adefb71d2bc,C017;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
