uncertainty_id,person_id,person_name,service_id,affiliation_id,start_inclusive,end_exclusive,primary_state,primary_party_id,alternatives,evidentiary_basis,aggregate_effect,affected_party_ids,potentially_set_changing_days,composition_neutral_days,unidentified_days_caused,evidence_ids,decision_ids,alternative_scope,date_constraint_id
affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20@service-C035-ivani-dos-santos-2017-10-20,person-ivani-dos-santos,Ivani dos Santos,service-C035-ivani-dos-santos-2017-10-20,affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20,2017-10-20,2017-10-26,UNKNOWN,,[],"Personal affiliation remains unresolved after historical SGIP3 governing-body screening and new firsthand-biography/registry-semantics review. Governing-body non-hits, partial registry absence and PMDB employment do not establish non-affiliation or exhaust the alternatives.",completion_blocker,,0,,6,C035;V5W1E001;V5W1E002;V5W1E003,C035;V5W1D001,service_affiliation_intersection,
affiliation-C036-jonathas-assuncao-salvador-nery-de-castro-2022-12-30@service-C036-jonathas-assuncao-salvador-nery-de-castro,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,service-C036-jonathas-assuncao-salvador-nery-de-castro,affiliation-C036-jonathas-assuncao-salvador-nery-de-castro-2022-12-30,2022-12-30,2023-01-01,UNKNOWN,,[],"Newly retrieved issuer-authored Petrobras 2022 reference form version 7, available in Latibex September 21 2022, identifies the exact full name and Casa Civil office. Physical page 532 (printed page 527) records self-declared corporate independence, politically exposed person status and absence of specified convictions. Physical pages 526,538,572,574,575 add board appointment, committee/subordination information. None states personal party affiliation or non-affiliation. The N/A rows concern a different disclosure field and cannot be recoded as unaffiliated. Legacy Petrobras assembly link fails DNS; official August 15 2022 announcement confirms nomination only. Retain UNKNOWN for December 30-31 2022; these findings also cannot resolve March 30 2021 and are not backprojected there.",completion_blocker,,0,,2,C036;V5W5E004,C036;V5W5D004,service_affiliation_intersection,
affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,person-paulo-pedrosa,Paulo Pedrosa,service-C041-paulo-pedrosa-2016-10-10,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10,2016-10-10,2016-10-11,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",evidence_bounded_personal_alternatives_from_historical_membership_and_retrospective_nonpartisan_description,composition_neutral,,0,1,0,C041;C067,C041;C067,service_affiliation_intersection,
affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25,person-paulo-pedrosa,Paulo Pedrosa,service-C041-paulo-pedrosa-2016-10-25,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25,2016-10-25,2016-10-26,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",evidence_bounded_personal_alternatives_from_historical_membership_and_retrospective_nonpartisan_description,composition_neutral,,0,1,0,C041;C067,C041;C067,service_affiliation_intersection,
affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26,person-paulo-pedrosa,Paulo Pedrosa,service-C041-paulo-pedrosa-2017-04-26,affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26,2017-04-26,2017-04-27,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",evidence_bounded_personal_alternatives_from_historical_membership_and_retrospective_nonpartisan_description,composition_neutral,,0,1,0,C041;C067,C041;C067,service_affiliation_intersection,
affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02@service-C041-paulo-pedrosa-2017-08-02,person-paulo-pedrosa,Paulo Pedrosa,service-C041-paulo-pedrosa-2017-08-02,affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02,2017-08-02,2017-08-03,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",evidence_bounded_personal_alternatives_from_historical_membership_and_retrospective_nonpartisan_description,composition_neutral,,0,1,0,C041;C067,C041;C067,service_affiliation_intersection,
affiliation-C041-paulo-pedrosa-2017-10-18-2017-10-18@service-C041-paulo-pedrosa-2017-10-18,person-paulo-pedrosa,Paulo Pedrosa,service-C041-paulo-pedrosa-2017-10-18,affiliation-C041-paulo-pedrosa-2017-10-18-2017-10-18,2017-10-18,2017-10-26,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",evidence_bounded_personal_alternatives_from_historical_membership_and_retrospective_nonpartisan_description,composition_neutral,,0,8,0,C041;C067,C041;C067,service_affiliation_intersection,
affiliation-C041-paulo-pedrosa-2018-04-06-2018-04-06@service-C041-paulo-pedrosa-2018-04-06,person-paulo-pedrosa,Paulo Pedrosa,service-C041-paulo-pedrosa-2018-04-06,affiliation-C041-paulo-pedrosa-2018-04-06-2018-04-06,2018-04-06,2018-04-10,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",evidence_bounded_personal_alternatives_from_historical_membership_and_retrospective_nonpartisan_description,composition_neutral,,0,4,0,C041;C067,C041;C067,service_affiliation_intersection,
affiliation-C044-helder-melillo-lopes-cunha-silva-2022-12-30@service-C044-helder-melillo-lopes-cunha-silva,person-helder-melillo-lopes-cunha-silva,Helder Melillo Lopes Cunha Silva,service-C044-helder-melillo-lopes-cunha-silva,affiliation-C044-helder-melillo-lopes-cunha-silva-2022-12-30,2022-12-30,2023-01-01,PARTY,NOVO,"[""NOVO"",""UNAFFILIATED""]","Official TSE public client resolves cdMotivoDesfiliacao=2 as A pedido do eleitor, distinct from Expulsao=1 and Judicial=10. The same record-detail template binds the reason field through that enum and separately displays dtDesfiliacao and tsCadastroDesfiliacao. The party departure form sends its chosen date as dtDesfiliacao and warns that reason-2 departure is effectuated after elector notice to the electoral court. Thus a bare populated dtDesfiliacao does not by itself prove completed judicial termination. Retain the exact-identity NOVO entry 2017-10-28, dtDesfiliacao 2021-02-03, REGULAR status 1, pending marker 1, null cancellation/exclusion and null tsCadastroDesfiliacao. The decoded reason is a recorded request category, not independent proof of the signed request or court receipt. Historical migration and actual court-notice date remain unverified; primary NOVO and the credible UNAFFILIATED alternative both remain for December 30-31 2022. C071 is retained as the earlier research state, superseded here only on the decoded code and directly observed client field mapping.",primary_adjudication_with_set_changing_alternative,NOVO,2,0,0,C044;C071;V5W5E001,C044;C071;V5W5D001,service_affiliation_intersection,
affiliation-C053-alberto-alves@service-C053-person-9cf6aaca0bc9,person-9cf6aaca0bc9,Alberto Alves,service-C053-person-9cf6aaca0bc9,affiliation-C053-alberto-alves,2018-04-06,2018-04-10,UNAFFILIATED,,"[""MDB"",""UNAFFILIATED""]",explicit_2016_nonaffiliation_then_continuity_in_uninterrupted_executive_secretary_tenure,composition_neutral,,0,4,0,C019;C053,C019;C053;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-C056-renato-de-lima-franca-2020-04-28@service-C056-renato-de-lima-franca,person-renato-de-lima-franca,Renato de Lima França,service-C056-renato-de-lima-franca,affiliation-C056-renato-de-lima-franca-2020-04-28,2020-04-28,2020-04-29,UNKNOWN,,[],Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation,completion_blocker,,0,,1,C056;V5W3E002,C056;V5W3D002,service_affiliation_intersection,
affiliation-C057-marcos-paulo-cardoso-coelho-da-silva-2020-02-14@service-C057-marcos-paulo-cardoso-coelho-da-silva,person-marcos-paulo-cardoso-coelho-da-silva,Marcos Paulo Cardoso Coelho da Silva,service-C057-marcos-paulo-cardoso-coelho-da-silva,affiliation-C057-marcos-paulo-cardoso-coelho-da-silva-2020-02-14,2020-02-14,2020-02-18,UNKNOWN,,[],Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation,completion_blocker,,0,,4,C057;V5W3E003,C057;V5W3D003,service_affiliation_intersection,
affiliation-C058-sergio-jose-pereira-2021-03-30@service-C058-sergio-jose-pereira,person-sergio-jose-pereira,Sérgio José Pereira,service-C058-sergio-jose-pereira,affiliation-C058-sergio-jose-pereira-2021-03-30,2021-03-30,2021-04-01,UNKNOWN,,[],"Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation; V5 original-source follow-up: CMB committee minute 57 of 2021-04-16 (visually inspected) identifies Sérgio José Pereira and the underlying SEI note 13261/2021/ME. Its favorable fiscal-council eligibility assessment covers professional experience, education and statutory impediments; it contains no explicit personal party declaration. Minute 69 is about successor Thiago Meirelles and cannot be attributed to Sérgio. No new evidence bounds his personal affiliation on March30–31.",completion_blocker,,0,,2,C058;V5W4E001,C058;V5W4D001,service_affiliation_intersection,
affiliation-C059-jonathas-2021@service-C059-person-jonathas-assuncao-salvador-nery-de-castro,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,service-C059-person-jonathas-assuncao-salvador-nery-de-castro,affiliation-C059-jonathas-2021,2021-03-30,2021-03-31,UNKNOWN,,[],"Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation; V5 new pre-service personnel channel: public mirror of Terracap eligibility minute dated2019-10-16 names Jonathas and case00111-00010585/2019-82, declaration and unspecified negative certificates including TSE. Neither the certificate type nor an explicit affiliation statement is reproduced. Header says19th meeting while footer says17th; original Terracap archive returns403. This is a source-discovery/limitation record, not a verified original or proof of nonaffiliation. W5 independently reviewed the 2022 Petrobras issuer filing; independence/PEP declarations likewise do not establish the March2021 personal party state.",completion_blocker,,0,,1,C036;C059;V5W4E003,C036;C059;V5W4D003,service_affiliation_intersection,
affiliation-C060-luiz-pontel-de-souza-2020-04-24@service-C060-luiz-pontel-de-souza,person-luiz-pontel-de-souza,Luiz Pontel de Souza,service-C060-luiz-pontel-de-souza,affiliation-C060-luiz-pontel-de-souza-2020-04-24,2020-04-24,2020-04-29,UNKNOWN,,[],Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation,completion_blocker,,0,,5,C060;V5W3E001,C060;V5W3D001,service_affiliation_intersection,
affiliation-C063-otavio-brandelli-2021-03-30@service-C063-otavio-brandelli,person-otavio-brandelli,Otávio Brandelli,service-C063-otavio-brandelli,affiliation-C063-otavio-brandelli-2021-03-30,2021-03-30,2021-03-31,UNKNOWN,,[],"Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation; V5 original-source follow-up: original Senate MSF14/2021 dossier (MRE CV, dm8953346) and committee report dm8986660 establish identity/career, including birthplace Garibaldi/RS; neither states personal affiliation. New scoped Garibaldi public TSE scan:39 party queries,3030 rows,all successful,no exact target. Birthplace does not establish electoral domicile and current municipal regular-record absence is not historical nonaffiliation. The service-sensitivity outgoing state stays UNKNOWN.",completion_blocker,,0,,1,C063;C072;V5W4E002,C063;C072;V5W4D002,service_affiliation_intersection,
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0,person-carlos-henrique-menezes-sobral,Carlos Henrique Menezes Sobral,service-C073-vacancy-0,affiliation-C074-carlos-henrique-sobral-2023,2023-11-30,2023-12-04,PARTY,MDB,"[""MDB"",""UNAFFILIATED""]",Qualified contemporary personal party-cadre label; adjudicated primary membership with unaffiliated alternative and forward continuity,composition_neutral,,0,4,0,C074,C074,service_affiliation_intersection,
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3,person-carlos-henrique-menezes-sobral,Carlos Henrique Menezes Sobral,service-C073-vacancy-3,affiliation-C074-carlos-henrique-sobral-2023,2025-02-01,2025-02-03,PARTY,MDB,"[""MDB"",""UNAFFILIATED""]",Qualified contemporary personal party-cadre label; adjudicated primary membership with unaffiliated alternative and forward continuity,composition_neutral,,0,2,0,C074,C074,service_affiliation_intersection,
affiliation-abe479fc17e2@service-jair_bolsonaro-0-15,person-c65a317c70db,Tereza Cristina,service-jair_bolsonaro-0-15,affiliation-abe479fc17e2,2022-03-01,2022-03-04,PARTY,UNIAO,"[""UNIAO"", ""PP""]",dated assertion plus targeted-search continuity,composition_neutral,,0,3,0,AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16,BOL-A01;PERSON-CONTINUITY-REVIEW,linked_date_window,transition-person-c65a317c70db
affiliation-aef121686045@service-58f6ac35cb5d,person-c855c86b4f06,Joaquim Lima de Oliveira,service-58f6ac35cb5d,affiliation-aef121686045,2018-04-10,2018-05-28,UNAFFILIATED,,[],adjudicated_historical_source_notation,source_notation_adjudication_no_specific_alternative,,0,,0,C026,C026;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-b2eb8d8beb97@service-jair_bolsonaro-0-63,person-87ad75f8d2f9,Damares Alves,service-jair_bolsonaro-0-63,affiliation-b2eb8d8beb97,2020-09-04,2020-09-19,PARTY,PP,"[""PP"", ""UNAFFILIATED""]",contemporary_positive_and_completed_departure_observations_with_narrowed_date_bounds,primary_adjudication_with_set_changing_alternative,PP,15,0,0,AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18;V5W6E03;V5W6E07;V5W6E09;V5W6E10,PERSON-CONTINUITY-REVIEW;R17;V5W6D02,linked_date_window,transition-person-87ad75f8d2f9
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32,person-74c3b4df9e1a,Maria Fernanda Ramos Coelho,service-dilma_rousseff-1-32,affiliation-b5e73dd9d2f3,2016-04-14,2016-04-19,PARTY,PT,"[""PT"",""UNAFFILIATED""]",reviewed_historical_observation_and_continuity,composition_neutral,,0,5,0,C005,C005;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-e330badabc4e@service-jair_bolsonaro-0-36,person-03c9d5b23d79,Pedro Cesar Nunes Ferreira Marques de Sousa,service-jair_bolsonaro-0-36,affiliation-e330badabc4e,2020-12-31,2021-02-12,UNAFFILIATED,,[],adjudicated_historical_source_notation,source_notation_adjudication_no_specific_alternative,,0,,0,C026,C026;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
