person_id,person_name,merged_service_start,merged_service_end,search_terms,search_scope,search_date,evidence_ids,result,coverage_limit
person-2b7bc2067f3b,Tarcísio de Freitas,2019-01-01,2022-03-31,Tarcísio Gomes de Freitas | Tarcísio de Freitas; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-015;AFF-016;BOL-E19,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-6e95055d8cff,Anderson Torres,2021-03-30,2023-01-01,Anderson Gustavo Torres | Anderson Torres; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-017;AFF-018;AFF-019;OFF-051,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-d2dadf632731,Ricardo Salles,2019-01-01,2021-06-23,Ricardo Salles; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-020;AFF-021;AFF-023;AFF-054;BOL-E03;BOL-E04;BOL-E05;BOL-E06;BOL-E23,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-c0ea546db6a5,Fábio Faria,2020-06-17,2022-12-21,Fábio Faria; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-026,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-c65a317c70db,Tereza Cristina,2019-01-01,2022-03-31,Tereza Cristina; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-124094b2bfa2,Gilson Machado Neto,2020-12-09,2022-03-31,Gilson Machado Neto; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-032;BOL-E20;C013,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-aea12d3cd8f6,Anielle Franco,2023-01-01,2026-03-20,Anielle Franco; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-033,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-96c220ae0629,Celso Sabino,2023-07-18,2025-12-23,Celso Sabino; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-034;AFF-035;AFF-036,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-9e9d2c2a173e,Jaques Wagner,2015-01-01,2016-05-12,Jacques Wagner | Jaques Wagner; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-490;C024;C032;LEG-8fea2cf59c34;LEG-d44eb314acd9;OFF-008;OFF-009,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-84d03af199f4,Wellington César Lima e Silva,2016-03-03,2026-03-20,Wellington César Lima e Silva; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-494;OFF-009;OFF-010;OFF-011,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-9d960627aeac,Eugênio Aragão,2016-03-17,2016-05-12,Eugênio Aragão; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-495,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-df9f2930b81a,Nelson Barbosa,2015-01-01,2016-05-12,Nelson Barbosa; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-500;LEG-50db413117de;LEG-e5f7ea3a676b,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-5139ef661a7d,Kátia Abreu,2015-01-01,2016-05-12,Kátia Abreu; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-503;LEG-bbe559c76692,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-052252ad8b69,Aloizio Mercadante,2015-01-01,2016-05-12,Aloizio Mercadante | Aloízio Mercadante; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-506;C024;C032;LEG-85841e849f8e;LEG-d255b4dea116,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-3b1d01f95a61,Miguel Rossetto,2015-01-01,2016-05-12,Miguel Rossetto; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-508;C024;C032;LEG-06075cf8fce5;LEG-8670a70acb8c,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-3d3adfcdf05f,Marcelo Castro,2015-10-05,2016-05-12,Marcelo Castro; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-510;ATLAS-511,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-6e762df38945,Armando Monteiro,2015-01-01,2016-05-12,Armando Monteiro; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-513;LEG-ba4b75fca9f5,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-86b811c075f6,Eduardo Braga,2015-01-01,2016-04-22,Eduardo Braga; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-515;C009;LEG-328a5753236c,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-d4b727e131c9,André Figueiredo,2015-10-05,2016-05-12,André Figueiredo; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-520,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-4a62f5bd6174,Celso Pansera,2015-10-05,2016-04-14,Celso Pansera; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-524;ATLAS-525,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-69112e380c0b,Inês da Silva Magalhães,2016-04-19,2016-05-12,Inês da Silva Magalhães; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-533,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-d63b83da527a,Alessandro Teixeira,2016-04-21,2016-05-12,Alessandro Golombiewski Teixeira | Alessandro Teixeira; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-536;LEG-46405e3b602b,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-aa911998b3f6,Nilma Lino Gomes,2015-01-01,2016-05-12,Nilma Lino Gomes; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-539;C024;C032;LEG-761e73bcf196;LEG-bcc69be0973d,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-15675a9ecd53,Ricardo Berzoini,2015-01-01,2016-05-12,Ricardo Berzoini; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-542;C024;C032;LEG-a0ba08a78c10;LEG-fc4f25515b67,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-69c3d0fe4619,Helder Barbalho,2015-01-01,2018-04-06,Helder Barbalho; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-547;ATLAS-548;C024;C032;LEG-1591c82663db;LEG-d4d6ed48816a;LEG-ed798dddc06b,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-c1f238f4da7e,Maurício Muniz Barreto de Carvalho,2016-04-22,2016-05-12,Maurício Muniz Barreto de Carvalho; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-549,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-cd7eec731906,Guilherme Walder Mora Ramalho,2015-12-08,2016-04-29,Guilherme Walder Mora Ramalho | Guilherme Walder Mora Ramalho (interino); partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-551;C021,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-4b3c84ef1e38,Mauro Lopes,2016-03-17,2016-04-18,Mauro Lopes; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-553;LEG-90f1b4fb4472,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-03e5816de50d,Carlos Eduardo Gabas,2015-01-01,2016-05-12,Carlos Eduardo Gabas; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-554;LEG-b3f068a0416e,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-ffd261ae3f4b,Joaquim Silva e Luna,2018-02-27,2019-01-01,Joaquim Silva e Luna; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-562,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-ff3ca3610dba,Aloysio Nunes,2017-03-07,2019-01-01,Aloysio Nunes; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-565;LEG-a7368f6c8a7a,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-c5ac8c46fc68,Eduardo Guardia,2018-04-06,2019-01-01,Eduardo Guardia; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-567;LEG-fbbfb4d9d59f,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-d35d6f9df7cc,Helton Yomura,2017-12-29,2018-07-05,Helton Yomura; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-574;LEG-03cf04d9b8ec,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-a25fdc2c76f8,Marcos Pereira,2016-05-12,2018-01-04,Marcos Pereira; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-578;OFF-003;OFF-012,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-8a2d89267620,Marcos Jorge de Lima,2018-01-04,2019-01-01,Marcos Jorge de Lima; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-579;OFF-013;OFF-049;OFF-050,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-9b5ce7be473f,Marco Antônio Martins Almeida,2016-04-22,2016-05-12,Marco Antônio Martins Almeida; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-580,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-4dbf0bdfa625,Moreira Franco,2017-02-03,2019-01-01,Moreira Franco; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-583;ATLAS-609;C041;LEG-79c599cac5ac;LEG-c9ecc2f3d167,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-97d87d5bc202,Esteves Colnago,2018-04-06,2019-01-01,Esteves Colnago | Esteves Conalgo; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-586;C052,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-9df96d30297f,Pádua Andrade,2018-04-10,2019-01-01,Antônio de Pádua de Deus | Pádua Andrade; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-588,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-d2cfce9d7579,Edson Duarte,2018-04-06,2019-01-01,Edson Duarte; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-590;OFF-015;OFF-017,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-40b55dc0bb6c,Leandro Cruz Fróes da Silva,2018-04-06,2019-01-01,Leandro Cruz Fróes da Silva; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-599;LEG-d2b6ba0c63b5,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-f3810a506437,Vinicius Lummertz,2018-04-10,2019-01-01,Vinicius Lummertz; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-605,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-43d3df106f94,Luislinda Valois,2017-02-03,2018-02-20,Luislinda Valois; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-607;C040;LEG-9d878ec47da4,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-326c14e875d3,André Mendonça,2019-01-01,2021-08-06,André Mendonça; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-620;LEG-92e9b59b9825,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-0b9c7bbdb3fe,Walter Braga Netto,2020-02-18,2022-04-01,Walter Braga Netto | Walter Souza Braga Netto; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-623;C049;LEG-62197e617b7c;LEG-dacd12d72fdc,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-ebaf14a16f4d,Carlos França,2021-04-06,2023-01-01,Carlos Alberto Franco França | Carlos França; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-626,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-e76ae1eaa3cb,Abraham Weintraub,2019-04-08,2020-06-20,Abraham Weintraub; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-633;LEG-d9b4064c62f2,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-289af7b4f132,Milton Ribeiro,2020-07-16,2022-03-28,Milton Ribeiro; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-634,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-ad64ef4485f1,Victor Godoy Veiga,2022-03-28,2023-01-01,Victor Godoy | Victor Godoy Veiga; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-635;C022;C048,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-a74198f91d7f,Onyx Lorenzoni,2019-01-01,2022-03-31,Onyx Lorenzoni; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-636;LEG-2652bfa0305c;LEG-607f4976d0f0;LEG-df0a18aba9ff;OFF-023;OFF-024,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-f9bec775a094,José Carlos Oliveira,2022-03-31,2023-01-01,José Carlos Oliveira; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-637;OFF-025,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-7d71eab96e03,Joaquim Alvaro Pereira Leite,2021-06-23,2023-01-01,Joaquim Alvaro Pereira Leite | Joaquim Álvaro Pereira Leite; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,ATLAS-650,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
