appointment_id,source_record_id,government_id,ministry,ministry_raw,ministry_status_type,person,person_raw,party,party_at_date,party_codes,party_candidates,party_resolution_method,appointment_type,role_classification,start,end,actual_start,actual_end,source_actual_end,spell_evidence_url,spell_evidence_publication_date,confidence,needs_review,coalition_period_ids,source_url,source_section,notes,source_snippet
dilma_rousseff:1:11,dilma_rousseff:1:11,dilma_2,Presidente do Banco Central do Brasil,Presidente do Banco Central do Brasil,orgao_status_ministerial,Alexandre Tombini,Alexandre Tombini,—,,,,no_party_code,permanent,minister,2015-01-01,2016-05-11,2015-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Presidente do Banco Central do Brasil | Alexandre Tombini | — | 1º de janeiro de 2015 | —
lula_2023_presente:2:34,lula_2023_presente:2:34,lula_3,Planejamento e Orçamento,Planejamento e Orçamento,ministerio,Simone Tebet,Simone Tebet,PSB / SP,PSB,PSB,PSB,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Planejamento e Orçamento | Simone Tebet | PSB / SP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:37,lula_2023_presente:2:37,lula_3,Povos Indígenas,Povos Indígenas,ministerio,Sônia Guajajara,Sônia Guajajara,PSOL / SP,PSOL,PSOL,PSOL,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Povos Indígenas | Sônia Guajajara | PSOL / SP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:4,lula_2023_presente:2:4,lula_3,"Ciência, Tecnologia e Inovação","Ciência, Tecnologia e Inovação",ministerio,Luciana Santos,Luciana Santos,PCdoB / PE,PCdoB,PCdoB,PCdoB,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,"Ciência, Tecnologia e Inovação | Luciana Santos | PCdoB / PE | 1.º de janeiro de 2023 | Em exercício"
lula_2023_presente:2:40,lula_2023_presente:2:40,lula_3,Relações Exteriores,Relações Exteriores,ministerio,Mauro Vieira,Mauro Vieira,Sem partido/ RJ,,,,no_party_code,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Relações Exteriores | Mauro Vieira | Sem partido/ RJ | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:43,lula_2023_presente:2:43,lula_3,Trabalho e Emprego,Trabalho e Emprego,ministerio,Luiz Marinho,Luiz Marinho,PT / SP,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Trabalho e Emprego | Luiz Marinho | PT / SP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:44,lula_2023_presente:2:44,lula_3,Transportes,Transportes,ministerio,Renan Filho,Renan Filho,MDB / AL,MDB,MDB,MDB,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Transportes | Renan Filho | MDB / AL | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:49,lula_2023_presente:2:49,lula_3,Advocacia-Geral da União,Advocacia-Geral da União,orgao_status_ministerial,Jorge Messias,Jorge Messias,PT / PE,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Advocacia-Geral da União | Jorge Messias | PT / PE | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:50,lula_2023_presente:2:50,lula_3,Controladoria-Geral da União,Controladoria-Geral da União,orgao_status_ministerial,Vinícius Marques de Carvalho,Vinícius Marques de Carvalho,Sem partido/ SP,,,,no_party_code,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Controladoria-Geral da União | Vinícius Marques de Carvalho | Sem partido/ SP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:51,lula_2023_presente:2:51,lula_3,Casa Civil,Casa Civil,orgao_status_ministerial,Rui Costa,Rui Costa,PT / BA,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Casa Civil | Rui Costa | PT / BA | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:8,lula_2023_presente:2:8,lula_3,Cultura,Cultura,ministerio,Margareth Menezes,Margareth Menezes,Sem partido/ BA,,,,no_party_code,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Cultura | Margareth Menezes | Sem partido/ BA | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:9,lula_2023_presente:2:9,lula_3,Defesa,Defesa,ministerio,José Múcio,José Múcio,Sem partido/ PE,,,,no_party_code,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Defesa | José Múcio | Sem partido/ PE | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:54,lula_2023_presente:2:54,lula_3,Gabinete de Segurança Institucional,Gabinete de Segurança Institucional,orgao_status_ministerial,Marcos Antonio Amaro dos Santos,Marcos Antonio Amaro dos Santos,Sem partido/ SP,,,,no_party_code,permanent,minister,2023-05-04,,2023-05-04,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Gabinete de Segurança Institucional | Marcos Antonio Amaro dos Santos | Sem partido/ SP | 4 de maio de 2023 | Em exercício
lula_2023_presente:2:17,lula_2023_presente:2:17,lula_3,"Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte","Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",ministerio,Márcio França,Márcio França,PSB / SP,PSB,PSB,PSB,single_raw_party,permanent,minister,2023-09-13,,2023-09-13,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,"Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte | Márcio França | PSB / SP | 13 de setembro de 2023 | Em exercício"
lula_2023_presente:2:19,lula_2023_presente:2:19,lula_3,Esporte,Esporte,ministerio,André Fufuca,André Fufuca,PP / MA,PP,PP,PP,single_raw_party,permanent,minister,2023-09-13,,2023-09-13,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Esporte | André Fufuca | PP / MA | 13 de setembro de 2023 | Em exercício
lula_2023_presente:2:36,lula_2023_presente:2:36,lula_3,Portos e Aeroportos,Portos e Aeroportos,ministerio,Sílvio Costa Filho,Sílvio Costa Filho,Republicanos / PE,Republicanos,Republicanos,Republicanos,single_raw_party,permanent,minister,2023-09-13,,2023-09-13,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Portos e Aeroportos | Sílvio Costa Filho | Republicanos / PE | 13 de setembro de 2023 | Em exercício
lula_2023_presente:2:15,lula_2023_presente:2:15,lula_3,Direitos Humanos e Cidadania,Direitos Humanos e Cidadania,ministerio,Macaé Evaristo,Macaé Evaristo,PT / MG,PT,PT,PT,single_raw_party,permanent,minister,2024-09-27,,2024-09-27,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Direitos Humanos e Cidadania | Macaé Evaristo | PT / MG | 27 de setembro de 2024 | Em exercício
lula_2023_presente:2:60,lula_2023_presente:2:60,lula_3,Secretaria de Comunicação Social,Secretaria de Comunicação Social,orgao_status_ministerial,Sidônio Palmeira,Sidônio Palmeira,Sem partido/ BA,,,,no_party_code,permanent,minister,2025-01-07,,2025-01-07,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Secretaria de Comunicação Social | Sidônio Palmeira | Sem partido/ BA | 07 de janeiro de 2025 | Em exercício
lula_2023_presente:2:42,lula_2023_presente:2:42,lula_3,Saúde,Saúde,ministerio,Alexandre Padilha,Alexandre Padilha,PT / SP,PT,PT,PT,single_raw_party,permanent,minister,2025-03-10,,2025-03-10,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Saúde | Alexandre Padilha | PT / SP | 10 de março de 2025 | Em exercício
lula_2023_presente:2:63,lula_2023_presente:2:63,lula_3,Secretaria de Relações Institucionais,Secretaria de Relações Institucionais,orgao_status_ministerial,Gleisi Hoffmann,Gleisi Hoffmann,PT / PR,PT,PT,PT,single_raw_party,permanent,minister,2025-03-10,,2025-03-10,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Secretaria de Relações Institucionais | Gleisi Hoffmann | PT / PR | 10 de março de 2025 | Em exercício
lula_2023_presente:2:7,lula_2023_presente:2:7,lula_3,Comunicações,Comunicações,ministerio,Frederico Siqueira,Frederico Siqueira,Sem partido/ PE,,,,no_party_code,permanent,minister,2025-04-24,,2025-04-24,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Comunicações | Frederico Siqueira | Sem partido/ PE | 24 de abril de 2025 | Em exercício
lula_2023_presente:2:39,lula_2023_presente:2:39,lula_3,Previdência Social,Previdência Social,ministerio,Wolney Queiroz,Wolney Queiroz,PDT / PE,PDT,PDT,PDT,single_raw_party,permanent,minister,2025-05-02,,2025-05-02,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Previdência Social | Wolney Queiroz | PDT / PE | 2 de maio de 2025 | Em exercício
lula_2023_presente:2:32,lula_2023_presente:2:32,lula_3,Mulheres,Mulheres,ministerio,Márcia Lopes,Márcia Lopes,PT / PR,PT,PT,PT,single_raw_party,permanent,minister,2025-05-05,,2025-05-05,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Mulheres | Márcia Lopes | PT / PR | 5 de maio de 2025 | Em exercício
lula_2023_presente:2:57,lula_2023_presente:2:57,lula_3,Secretaria-Geral da Presidência da República,Secretaria-Geral da Presidência da República,orgao_status_ministerial,Guilherme Boulos,Guilherme Boulos,PSOL / SP,PSOL,PSOL,PSOL,single_raw_party,permanent,minister,2025-10-29,,2025-10-29,,,,,high,False,"2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Secretaria-Geral da Presidência da República | Guilherme Boulos | PSOL / SP | 29 de outubro de 2025 | Em exercício
lula_2023_presente:2:47,lula_2023_presente:2:47,lula_3,Turismo,Turismo,ministerio,Gustavo Feliciano,Gustavo Feliciano,Sem partido/ PB,,,,no_party_code,permanent,minister,2025-12-23,,2025-12-23,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Turismo | Gustavo Feliciano | Sem partido/ PB | 23 de dezembro de 2025 | Em exercício
lula_2023_presente:2:28,lula_2023_presente:2:28,lula_3,Justiça e Segurança Pública,Justiça e Segurança Pública,ministerio,Wellington César Lima e Silva,Wellington César Lima e Silva,Sem partido,,,,no_party_code,permanent,minister,2026-01-13,,2026-01-13,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Justiça e Segurança Pública | Wellington César Lima e Silva | Sem partido | 13 de janeiro de 2026 | Em exercício
lula_2023_presente:2:21,lula_2023_presente:2:21,lula_3,Fazenda,Fazenda,ministerio,Dario Durigan,Dario Durigan,Sem partido/ SP,,,,no_party_code,permanent,minister,2026-03-19,,2026-03-19,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Fazenda | Dario Durigan | Sem partido/ SP | 19 de março de 2026 | Em exercício
dilma_rousseff:1:4,dilma_rousseff:1:4,dilma_2,Secretaria de Assuntos Estratégicos,Secretaria de Assuntos Estratégicos,orgao_status_ministerial,Marcelo Neri,Marcelo Neri,—,,,,no_party_code,permanent,minister,2015-01-01,2015-02-05,2015-01-01,2015-02-05,2015-02-05,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Secretaria de Assuntos Estratégicos | Marcelo Neri | — | 1º de janeiro de 2015 | 5 de fevereiro de 2015
dilma_rousseff:1:39,dilma_rousseff:1:39,dilma_2,Ministério da Educação,Ministério da Educação,ministerio,Cid Gomes,Cid Gomes,PDT,PDT,PDT,PDT,single_raw_party,permanent,minister,2015-01-01,2015-03-18,2015-01-01,2015-03-18,2015-03-18,,,high,False,2015.1,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Ministério da Educação | Cid Gomes | PDT | 1º de janeiro de 2015 | 18 de março de 2015
dilma_rousseff:1:21,dilma_rousseff:1:21,dilma_2,Secretaria de Comunicação Social,Secretaria de Comunicação Social,orgao_status_ministerial,Thomas Traumann,Thomas Traumann,PSD,PSD,PSD,PSD,single_raw_party,permanent,minister,2015-01-01,2015-03-25,2015-01-01,2015-03-25,2015-03-25,,,high,False,2015.1,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Secretaria de Comunicação Social | Thomas Traumann | PSD | 1º de janeiro de 2015 | 25 de março de 2015
dilma_rousseff:1:40,dilma_rousseff:1:40,dilma_2,Ministério da Educação,Ministério da Educação,ministerio,Luiz Cláudio Costa,Luiz Cláudio Costa,—,,,,no_party_code,interim,interino,2015-03-18,2015-04-06,2015-03-18,2015-04-06,2015-04-06,,,medium,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Ministério da Educação | Luiz Cláudio Costa | — | 18 de março de 2015 (interino) | 6 de abril de 2015
dilma_rousseff:1:67,dilma_rousseff:1:67,dilma_2,Secretaria de Relações Institucionais,Secretaria de Relações Institucionais,orgao_status_ministerial,Pepe Vargas,Pepe Vargas,PT,PT,PT,PT,single_raw_party,permanent,minister,2015-01-01,2015-04-07,2015-01-01,2015-04-07,2015-04-07,,,high,False,2015.1,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Secretaria de Relações Institucionais | Pepe Vargas | PT | 1º de janeiro de 2015 | 7 de abril de 2015 (secretaria extinta)
dilma_rousseff:1:36,dilma_rousseff:1:36,dilma_2,Secretaria de Direitos Humanos,Secretaria de Direitos Humanos,orgao_status_ministerial,Ideli Salvatti,Ideli Salvatti,PT,PT,PT,PT,single_raw_party,permanent,minister,2015-01-01,2015-04-16,2015-01-01,2015-04-16,2015-04-16,,,high,False,2015.1,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Secretaria de Direitos Humanos | Ideli Salvatti | PT | 1º de janeiro de 2015 | 16 de abril de 2015
dilma_rousseff:1:75,dilma_rousseff:1:75,dilma_2,Ministério do Turismo,Ministério do Turismo,ministerio,Vinicius Lages,Vinicius Lages,—,,,,no_party_code,permanent,minister,2015-01-01,2015-04-16,2015-01-01,2015-04-16,2015-04-16,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Ministério do Turismo | Vinicius Lages | — | 1º de janeiro de 2015 | 16 de abril de 2015
dilma_rousseff:1:5,dilma_rousseff:1:5,dilma_2,Secretaria de Assuntos Estratégicos,Secretaria de Assuntos Estratégicos,orgao_status_ministerial,Roberto Mangabeira Unger,Roberto Mangabeira Unger,—,,,,no_party_code,permanent,minister,2015-02-05,2015-09-14,2015-02-05,2015-09-14,2015-09-14,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Secretaria de Assuntos Estratégicos | Roberto Mangabeira Unger | — | 5 de fevereiro de 2015 | 14 de setembro de 2015
dilma_rousseff:1:41,dilma_rousseff:1:41,dilma_2,Ministério da Educação,Ministério da Educação,ministerio,Renato Janine Ribeiro,Renato Janine Ribeiro,—,,,,no_party_code,permanent,minister,2015-04-06,2015-09-30,2015-04-06,2015-09-30,2015-09-30,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Ministério da Educação | Renato Janine Ribeiro | — | 6 de abril de 2015 | 30 de setembro de 2015
dilma_rousseff:1:68,dilma_rousseff:1:68,dilma_2,Ministério da Saúde,Ministério da Saúde,ministerio,Arthur Chioro,Arthur Chioro,PT,PT,PT,PT,single_raw_party,permanent,minister,2015-01-01,2015-10-01,2015-01-01,2015-10-01,2015-10-01,,,high,False,2015.1,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Ministério da Saúde | Arthur Chioro | PT | 1º de janeiro de 2015 | 1 de outubro de 2015
