alias,person_id,person_name,basis
Blairo Maggi,person-ead656f02bfe,Blairo Maggi,canonical observed form
Bruno Araújo,person-27563f8cf17b,Bruno Araújo,canonical observed form
Bruno Bianco Leal,person-5197b843a7c6,Bruno Bianco Leal,canonical observed form
Caio Luiz de Almeida Vieira de Mello,person-c3f91d34e31b,Caio Vieira de Mello,explicit reviewed spelling/name variant
Caio Vieira de Mello,person-c3f91d34e31b,Caio Vieira de Mello,canonical observed form
Camilo Santana,person-bff2f0982308,Camilo Santana,canonical observed form
Carlos Alberto Franco França,person-ebaf14a16f4d,Carlos França,explicit reviewed spelling/name variant
Carlos Alberto Gomes de Brito,person-5a4f56e80b67,Carlos Alberto Gomes de Brito,canonical observed form
Carlos Alberto dos Santos Cruz,person-322643379e9d,Carlos Alberto dos Santos Cruz,canonical observed form
Carlos Decotelli,person-6384d7c259dc,Carlos Decotelli,canonical observed form
Carlos Eduardo Gabas,person-03e5816de50d,Carlos Eduardo Gabas,canonical observed form
Carlos França,person-ebaf14a16f4d,Carlos França,canonical observed form
Carlos Fávaro,person-03674b52507a,Carlos Fávaro,canonical observed form
Carlos Henrique Menezes Sobral,person-carlos-henrique-menezes-sobral,Carlos Henrique Menezes Sobral,Completion source-specific canonical name; source spelling retained in original assertions
Carlos Higino Ribeiro de Alencar,person-e1c3de3fc615,Carlos Higino Ribeiro de Alencar,canonical observed form
Carlos Lupi,person-29d7f5939122,Carlos Lupi,canonical observed form
Carlos Marun,person-958d8b84b828,Carlos Marun,canonical observed form
Celso Pansera,person-4a62f5bd6174,Celso Pansera,canonical observed form
Celso Sabino,person-96c220ae0629,Celso Sabino,canonical observed form
Cid Gomes,person-5fd0956c528c,Cid Gomes,canonical observed form
Cida Gonçalves,person-679284c8b6a4,Cida Gonçalves,canonical observed form
Ciro Nogueira,person-af97e0cae87f,Ciro Nogueira,canonical observed form
Cristiane Brasil,person-47db0dcff2a7,Cristiane Brasil,canonical observed form
Cristiane Britto,person-9cdf4e7199c3,Cristiane Britto,canonical observed form
Cristiane Rodrigues Britto,person-9cdf4e7199c3,Cristiane Britto,explicit reviewed spelling/name variant
Célio Faria Júnior,person-d75dc2747d17,Célio Faria Júnior,canonical observed form
Damares Alves,person-87ad75f8d2f9,Damares Alves,canonical observed form
Daniel Duarte Ferreira,person-3695143e73fd,Daniel Duarte Ferreira,canonical observed form
Daniel de Oliveira Duarte Ferreira,person-3695143e73fd,Daniel Duarte Ferreira,explicit reviewed spelling/name variant
Daniela Carneiro,person-7e402352458c,Daniela Carneiro,canonical observed form
Dario Durigan,person-ac90462d73a6,Dario Durigan,canonical observed form
Dyogo Oliveira,person-8c343d996b0d,Dyogo Oliveira,canonical observed form
Edinho Araújo,person-bab2d25de60e,Edson Coelho Araújo,explicit reviewed spelling/name variant
Edinho Silva,person-9fe6d70bf384,Edinho Silva,canonical observed form
Edson Coelho Araújo,person-bab2d25de60e,Edson Coelho Araújo,canonical observed form
Edson Duarte,person-d2cfce9d7579,Edson Duarte,canonical observed form
Eduardo Braga,person-86b811c075f6,Eduardo Braga,canonical observed form
Eduardo Guardia,person-c5ac8c46fc68,Eduardo Guardia,canonical observed form
Eduardo Pazuello,person-6f575955e5ae,Eduardo Pazuello,canonical observed form
Eleonora Menicucci,person-ab2d74d8fcaf,Eleonora Menicucci,canonical observed form
Eliseu Padilha,person-2f002dc5bdc9,Eliseu Padilha,canonical observed form
Emília Maria Silva Ribeiro Curi,person-e3b49350bd7a,Emília Maria Silva Ribeiro Curi,canonical observed form
Ernesto Araújo,person-37d1541c30a3,Ernesto Araújo,canonical observed form
Esteves Colnago,person-97d87d5bc202,Esteves Colnago,canonical observed form
Esteves Conalgo,person-97d87d5bc202,Esteves Colnago,explicit reviewed spelling/name variant
Esther Dweck,person-8aa66af5537a,Esther Dweck,canonical observed form
Eugênio Aragão,person-9d960627aeac,Eugênio Aragão,canonical observed form
Eva Chiavon,person-884dd07ee0fc,Eva Chiavon,canonical observed form
Fabiano Silveira,person-f98100adea6c,Fabiano Silveira,canonical observed form
Fernando Azevedo e Silva,person-701837a286fb,Fernando Azevedo e Silva,canonical observed form
Fernando Bezerra Coelho Filho,person-1eca0d922c8e,Fernando Bezerra Coelho Filho,canonical observed form
Fernando Coelho Filho,person-1eca0d922c8e,Fernando Bezerra Coelho Filho,explicit reviewed spelling/name variant
Fernando Haddad,person-f0fb19bbf4c2,Fernando Haddad,canonical observed form
Floriano Peixoto Vieira Neto,person-1a9f69c72058,Floriano Peixoto Vieira Neto,canonical observed form
Floriano Peixoto,person-1a9f69c72058,Floriano Peixoto Vieira Neto,explicit reviewed spelling/name variant
Flávia Arruda,person-fc5415a3bc75,Flávia Arruda,canonical observed form
Flávio Dino,person-0da4a679c59d,Flávio Dino,canonical observed form
Frederico Siqueira,person-c5b20dc3c4ca,Frederico Siqueira,canonical observed form
Fábio Faria,person-c0ea546db6a5,Fábio Faria,canonical observed form
Fábio Medina Osório,person-85a79785a4b2,Fábio Medina Osório,canonical observed form
Geddel Vieira Lima,person-c662b71943eb,Geddel Vieira Lima,canonical observed form
George Hilton,person-36c135f51965,George Hilton,canonical observed form
Geraldo Alckmin,person-bb7b68961b8f,Geraldo Alckmin,canonical observed form
Gilberto Kassab,person-0c933c9fd291,Gilberto Kassab,canonical observed form
Gilberto Occhi,person-57a1c7594de5,Gilberto Occhi,canonical observed form
Gilson Machado Neto,person-124094b2bfa2,Gilson Machado Neto,canonical observed form
Gleisi Hoffmann,person-cdad5b4f84e4,Gleisi Hoffmann,canonical observed form
Gonçalves Dias,person-d7245619b521,Gonçalves Dias,canonical observed form
Grace Mendonça,person-3cb227b769ce,Grace Mendonça,canonical observed form
Guilherme Afif Domingos,person-ae882a0b01e7,Guilherme Afif Domingos,canonical observed form
Guilherme Boulos,person-b9f0ad68aacc,Guilherme Boulos,canonical observed form
Guilherme Walder Mora Ramalho,person-cd7eec731906,Guilherme Walder Mora Ramalho,canonical observed form
Gustavo Bebbiano,person-b3c07bf64b96,Gustavo Bebianno,explicit reviewed spelling/name variant
Gustavo Bebianno,person-b3c07bf64b96,Gustavo Bebianno,canonical observed form
Gustavo Canuto,person-5936250a32d3,Gustavo Canuto,canonical observed form
Gustavo Feliciano,person-f25df99d0fa9,Gustavo Feliciano,canonical observed form
Gustavo Rocha,person-dfae93f2748f,Gustavo Rocha,canonical observed form
Helder Barbalho,person-69c3d0fe4619,Helder Barbalho,canonical observed form
Helder Melillo Lopes Cunha Silva,person-helder-melillo-lopes-cunha-silva,Helder Melillo Lopes Cunha Silva,Completion source-specific canonical name; source spelling retained in original assertions
Helton Yomura,person-d35d6f9df7cc,Helton Yomura,canonical observed form
Henrique Eduardo Alves,person-5d5c6255c599,Henrique Eduardo Alves,canonical observed form
Henrique Meirelles,person-e1227ba12162,Henrique Meirelles,canonical observed form
Ideli Salvatti,person-8dc226f411d7,Ideli Salvatti,canonical observed form
Ilan Goldfajn,person-82d2816ba9d8,Ilan Goldfajn,canonical observed form
Inês da Silva Magalhães,person-69112e380c0b,Inês da Silva Magalhães,canonical observed form
Ivani dos Santos,person-ivani-dos-santos,Ivani dos Santos,Completion source-specific canonical name; source spelling retained in original assertions
Izabella Teixeira,person-c804f816babb,Izabella Teixeira,canonical observed form
Jacques Wagner,person-9e9d2c2a173e,Jaques Wagner,explicit reviewed spelling/name variant
Jader Barbalho Filho,person-084754daf6e9,Jader Barbalho Filho,canonical observed form
Jader Filho,person-084754daf6e9,Jader Barbalho Filho,explicit reviewed spelling/name variant
Jaques Wagner,person-9e9d2c2a173e,Jaques Wagner,canonical observed form
Joaquim Alvaro Pereira Leite,person-7d71eab96e03,Joaquim Alvaro Pereira Leite,canonical observed form
Joaquim Levy,person-d18354f64c86,Joaquim Levy,canonical observed form
Joaquim Lima de Oliveira,person-c855c86b4f06,Joaquim Lima de Oliveira,Completion source-specific canonical name; source spelling retained in original assertions
Joaquim Oliveira,person-c855c86b4f06,Joaquim Lima de Oliveira,canonical observed form
Joaquim Silva e Luna,person-ffd261ae3f4b,Joaquim Silva e Luna,canonical observed form
Jonathas Assunção Salvador Nery de Castro,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,Completion source-specific canonical name; source spelling retained in original assertions
Jorge Messias,person-467237911319,Jorge Messias,canonical observed form
Jorge Oliveira,person-67b7120fa858,Jorge Oliveira,canonical observed form
José Carlos Oliveira,person-f9bec775a094,José Carlos Oliveira,explicit reviewed spelling/name variant
José Eduardo Cardozo,person-ca40dc0291e1,José Eduardo Cardozo,canonical observed form
José Elito Carvalho Siqueira,person-1524cb7ccc12,José Elito Carvalho Siqueira,canonical observed form
José Levi Mello,person-86d3dadcfd0f,José Levi Mello,canonical observed form
José Levi,person-86d3dadcfd0f,José Levi Mello,explicit reviewed spelling/name variant
José Múcio Monteiro,person-cdcfeb36ce97,José Múcio,explicit reviewed spelling/name variant
José Múcio,person-cdcfeb36ce97,José Múcio,canonical observed form
José Serra,person-957fc85102e7,José Serra,canonical observed form
Josélio de Andrade Moura,person-ffd279a48828,Josélio de Andrade Moura,canonical observed form
João Batista de Andrade,person-7c277f7f61b2,João Batista de Andrade,canonical observed form
João Gabbardo dos Reis,person-joao-gabbardo-dos-reis,João Gabbardo dos Reis,Completion source-specific canonical name; source spelling retained in original assertions
João Roma,person-0d44fe4521b9,João Roma,canonical observed form
Juca Ferreira,person-e97a73d54d22,Juca Ferreira,canonical observed form
Juscelino Filho,person-4a5b603c4e67,Juscelino Filho,canonical observed form
Kátia Abreu,person-5139ef661a7d,Kátia Abreu,canonical observed form
Laércio Portela,person-feda1e43da79,Laércio Portela,canonical observed form
Leandro Cruz Fróes da Silva,person-40b55dc0bb6c,Leandro Cruz Fróes da Silva,canonical observed form
Leonardo Picciani,person-59b200bc0126,Leonardo Picciani,canonical observed form
Luciana Santos,person-620c3584df9c,Luciana Santos,canonical observed form
Luislinda Valois,person-43d3df106f94,Luislinda Valois,canonical observed form
Luiz Cláudio Costa,person-42c80e28db4f,Luiz Cláudio Costa,canonical observed form
Luiz Eduardo Ramos,person-0fbaba5c8624,Luiz Eduardo Ramos,canonical observed form
Luiz Henrique Mandetta,person-eeb5a64cf94d,Luiz Henrique Mandetta,canonical observed form
Luiz Inácio Lula da Silva,person-1c65a93af898,Luiz Inácio Lula da Silva,canonical observed form
Luiz Marinho,person-d24bcf5e9d95,Luiz Marinho,canonical observed form
Luiz Navarro de Britto,person-cb50546f64cf,Luiz Navarro de Britto,canonical observed form
Luiz Pontel de Souza,person-luiz-pontel-de-souza,Luiz Pontel de Souza,Completion source-specific canonical name; source spelling retained in original assertions
Luís Inácio Adams,person-aa5f8262ea48,Luís Inácio Adams,canonical observed form
Luís Inácio Lula da Silva,person-1c65a93af898,Luiz Inácio Lula da Silva,explicit reviewed spelling/name variant
Macaé Evaristo,person-b983e95c8716,Macaé Evaristo,canonical observed form
Manoel Carlos de Almeida Neto,person-5ade68870caa,Manoel Carlos de Almeida Neto,canonical observed form
Manoel Dias,person-3978546739e7,Manoel Dias,canonical observed form
Marcelo Calero,person-f8bcbd6bbf95,Marcelo Calero,canonical observed form
Marcelo Castro,person-3d3adfcdf05f,Marcelo Castro,canonical observed form
Marcelo Neri,person-a0d1dbbd1239,Marcelo Neri,canonical observed form
Marcelo Queiroga,person-2c3dff30638f,Marcelo Queiroga,canonical observed form
Marcelo Sampaio Cunha Filho,person-94039ea6c1ed,Marcelo Sampaio,explicit reviewed spelling/name variant
Marcelo Sampaio,person-94039ea6c1ed,Marcelo Sampaio,canonical observed form
Marcelo Álvaro Antônio,person-ccda4e28f3dd,Marcelo Álvaro Antônio,canonical observed form
Marco Antônio Martins Almeida,person-9b5ce7be473f,Marco Antônio Martins Almeida,canonical observed form
Marco Aurélio de Queiroz Campos,person-48a2cca11210,Marco Aurélio de Queiroz Campos,canonical observed form
Marcos Antonio Amaro dos Santos,person-a8fa920e4c2c,Marcos Antonio Amaro dos Santos,explicit reviewed spelling/name variant
Marcos Galvão,person-37f571ff3c86,Marcos Galvão,canonical observed form
Marcos Jorge de Lima,person-8a2d89267620,Marcos Jorge de Lima,explicit reviewed spelling/name variant
Marcos Jorge,person-8a2d89267620,Marcos Jorge de Lima,explicit reviewed spelling/name variant
Marcos Montes Cordeiro,person-b8dfe242ff4d,Marcos Montes,explicit reviewed spelling/name variant
Marcos Montes,person-b8dfe242ff4d,Marcos Montes,canonical observed form
Marcos Paulo Cardoso Coelho da Silva,person-marcos-paulo-cardoso-coelho-da-silva,Marcos Paulo Cardoso Coelho da Silva,Completion source-specific canonical name; source spelling retained in original assertions
Marcos Pereira,person-a25fdc2c76f8,Marcos Pereira,canonical observed form
Marcos Pontes,person-fd6d27c2b524,Marcos Pontes,canonical observed form
Margareth Menezes,person-e545719de661,Margareth Menezes,canonical observed form
Maria Estella Dantas Antonichelli,person-561613fe4a6e,Maria Estella Dantas Antonichelli,Completion source-specific canonical name; source spelling retained in original assertions
Maria Estella Dantas,person-561613fe4a6e,Maria Estella Dantas Antonichelli,canonical observed form
Maria Fernanda Ramos Coelho,person-74c3b4df9e1a,Maria Fernanda Ramos Coelho,canonical observed form
Maria Helena Guimarães de Castro,person-maria-helena-guimaraes-de-castro,Maria Helena Guimarães de Castro,Completion source-specific canonical name; source spelling retained in original assertions
Mariana Ribas da Silva,person-mariana-ribas-da-silva,Mariana Ribas da Silva,Completion source-specific canonical name; source spelling retained in original assertions
Marina Silva,person-95a7db1ddc55,Marina Silva,canonical observed form
Marx Beltrão,person-31126468e4b1,Marx Beltrão,canonical observed form
Mauro Lopes,person-4b3c84ef1e38,Mauro Lopes,canonical observed form
Mauro Vieira,person-a9747949f291,Mauro Vieira,canonical observed form
Maurício Muniz Barreto de Carvalho,person-c1f238f4da7e,Maurício Muniz Barreto de Carvalho,canonical observed form
Maurício Quintella Lessa,person-6e11e60e71b7,Maurício Quintella Lessa,canonical observed form
Mendonça Filho,person-82f55f78ebd6,Mendonça Filho,canonical observed form
Miguel Rossetto,person-3b1d01f95a61,Miguel Rossetto,canonical observed form
Milton Ribeiro,person-289af7b4f132,Milton Ribeiro,canonical observed form
Moreira Franco,person-4dbf0bdfa625,Moreira Franco,canonical observed form
Márcia Lopes,person-b70c083991e4,Márcia Lopes,canonical observed form
Márcio França,person-c505ea49abf6,Márcio França,canonical observed form
Márcio Macêdo,person-77a67c261215,Márcio Macêdo,canonical observed form
Mário Ramos Ribeiro,person-mario-ramos-ribeiro,Mário Ramos Ribeiro,Completion source-specific canonical name; source spelling retained in original assertions
Nelson Barbosa,person-df9f2930b81a,Nelson Barbosa,canonical observed form
Nelson Teich,person-f4df829d9e6a,Nelson Teich,canonical observed form
Nilma Lino Gomes,person-aa911998b3f6,Nilma Lino Gomes,canonical observed form
Nísia Trindade,person-b681473bece5,Nísia Trindade,canonical observed form
Onyx Lorenzoni,person-a74198f91d7f,Onyx Lorenzoni,canonical observed form
Osmar Serraglio,person-faaa3fbb69cb,Osmar Serraglio,canonical observed form
Osmar Terra,person-95ad6fa20856,Osmar Terra,canonical observed form
Otávio Brandelli,person-otavio-brandelli,Otávio Brandelli,Completion source-specific canonical name; source spelling retained in original assertions
Patrus Ananias,person-90757367fdcf,Patrus Ananias,canonical observed form
Paulo Alvim,person-6fc90e9e6006,Paulo César Alvim,explicit reviewed spelling/name variant
Paulo César Alvim,person-6fc90e9e6006,Paulo César Alvim,canonical observed form
Paulo Guedes,person-40f3a2e695f4,Paulo Guedes,canonical observed form
Paulo Jerônimo Bandeira de Mello Pedrosa,person-paulo-pedrosa,Paulo Pedrosa,C067; Senado Federal May 2 2001 nomination and subsequent Aneel/MME career identity
Paulo Pedrosa,person-paulo-pedrosa,Paulo Pedrosa,Completion source-specific canonical name; source spelling retained in original assertions
Paulo Pimenta,person-8fe557c5943b,Paulo Pimenta,canonical observed form
Paulo Sérgio Nogueira de Oliveira,person-99dce727f50d,Paulo Sérgio Nogueira de Oliveira,canonical observed form
Paulo Sérgio Nogueira,person-99dce727f50d,Paulo Sérgio Nogueira de Oliveira,explicit reviewed spelling/name variant
Paulo Teixeira,person-a7e366e12926,Paulo Teixeira,canonical observed form
Pedro Cesar Nunes Ferreira Marques de Sousa,person-03c9d5b23d79,Pedro Cesar Nunes Ferreira Marques de Sousa,Completion source-specific canonical name; source spelling retained in original assertions
Pedro Cesar Sousa,person-03c9d5b23d79,Pedro Cesar Nunes Ferreira Marques de Sousa,canonical observed form
Pepe Vargas,person-a4e239dfc327,Pepe Vargas,canonical observed form
Pádua Andrade,person-9df96d30297f,Pádua Andrade,canonical observed form
Raul Jungmann,person-d8e018a87929,Raul Jungmann,canonical observed form
Renan Filho,person-e4833e3cf7cd,Renan Filho,canonical observed form
Renato Janine Ribeiro,person-aafdc596ffb6,Renato Janine Ribeiro,canonical observed form
Renato de Lima França,person-renato-de-lima-franca,Renato de Lima França,Completion source-specific canonical name; source spelling retained in original assertions
Ricardo Barros,person-f531e7e77d22,Ricardo Barros,canonical observed form
Ricardo Berzoini,person-15675a9ecd53,Ricardo Berzoini,canonical observed form
Ricardo Cappelli,person-c3a21dbca21c,Ricardo Cappelli,canonical observed form
Ricardo Lewandowski,person-776b909a53e5,Ricardo Lewandowski,canonical observed form
Ricardo Leyser,person-b3d44fb99031,Ricardo Leyser,canonical observed form
Ricardo Salles,person-d2dadf632731,Ricardo Salles,canonical observed form
Ricardo Vélez Rodríguez,person-771d907e0f23,Ricardo Vélez Rodríguez,canonical observed form
Roberto Bocorny Messias,person-C029-roberto-bocorny-messias,Roberto Bocorny Messias,Completion source-specific canonical name; source spelling retained in original assertions
Roberto Campos Neto,person-882405f44f66,Roberto Campos Neto,canonical observed form
Roberto Freire,person-ab37c3a157a5,Roberto Freire,canonical observed form
Roberto Mangabeira Unger,person-dbf349570fa7,Roberto Mangabeira Unger,canonical observed form
Roberto Messias,person-C029-roberto-bocorny-messias,Roberto Bocorny Messias,C029: contemporary Secom identity
Rogério Marinho,person-20d6d1c35408,Rogério Marinho,canonical observed form
Romero Jucá,person-3501522a16bc,Romero Jucá,canonical observed form
Ronaldo Fonseca,person-f1eb4370a38c,Ronaldo Fonseca,canonical observed form
Ronaldo Nogueira,person-4597724356b9,Ronaldo Nogueira,canonical observed form
Ronaldo Vieira Bento,person-88d109b51eb0,Ronaldo Vieira Bento,canonical observed form
Rossieli Soares,person-defb4943178a,Rossieli Soares,canonical observed form
Rui Costa,person-840d333b3397,Rui Costa,canonical observed form
Sarney Filho,person-81ec7a04357e,Sarney Filho,canonical observed form
Sergio Moro,person-1bf1b217be4a,Sergio Moro,canonical observed form
Sidônio Palmeira,person-622e9e6e1cc2,Sidônio Palmeira,canonical observed form
Silvio Almeida,person-a4d00cc5738e,Silvio Almeida,canonical observed form
Simone Tebet,person-2386b1d96cb0,Simone Tebet,canonical observed form
Sérgio Etchegoyen,person-1a6fb01c17d6,Sérgio Etchegoyen,canonical observed form
Sérgio José Pereira,person-sergio-jose-pereira,Sérgio José Pereira,Completion source-specific canonical name; source spelling retained in original assertions
Sérgio Sá Leitão,person-aad1a5fad29f,Sérgio Sá Leitão,canonical observed form
Sílvio Costa Filho,person-8ce936917da4,Sílvio Costa Filho,canonical observed form
Sônia Faustino Mendes,person-940be97e3133,Sônia Faustino Mendes,canonical observed form
Sônia Guajajara,person-0fde3aa24a12,Sônia Guajajara,canonical observed form
Tarcísio Gomes de Freitas,person-2b7bc2067f3b,Tarcísio de Freitas,explicit reviewed spelling/name variant
Tarcísio de Freitas,person-2b7bc2067f3b,Tarcísio de Freitas,canonical observed form
Tereza Campello,person-06d7d8eceb28,Tereza Campello,canonical observed form
Tereza Cristina,person-c65a317c70db,Tereza Cristina,canonical observed form
Thomas Traumann,person-47c2eec4ae3b,Thomas Traumann,canonical observed form
Torquato Jardim,person-30bed103385a,Torquato Jardim,canonical observed form
Valdir Moysés Simão,person-493daa3b8149,Valdir Moysés Simão,canonical observed form
Valdir Simão,person-493daa3b8149,Valdir Moysés Simão,explicit reviewed spelling/name variant
Valter Casimiro Silveira,person-34a8cf0e1dd6,Valter Casimiro Silveira,canonical observed form
Victor Godoy Veiga,person-ad64ef4485f1,Victor Godoy Veiga,canonical observed form
Victor Godoy,person-ad64ef4485f1,Victor Godoy Veiga,explicit reviewed spelling/name variant
Vinicius Lages,person-16ea0c2b585a,Vinicius Lages,canonical observed form
Vinicius Lummertz,person-f3810a506437,Vinicius Lummertz,canonical observed form
Vinicius Nobre Lages,person-16ea0c2b585a,Vinicius Lages,explicit reviewed spelling/name variant
Vinícius Marques de Carvalho,person-358ab99f9eea,Vinícius Marques de Carvalho,canonical observed form
Vitor Pinto Chaves,person-df16b033f6c7,Vitor Pinto Chaves,canonical observed form
Wagner Rosário,person-6e58f0606af5,Wagner Rosário,canonical observed form
Wagner de Campos Rosário,person-6e58f0606af5,Wagner Rosário,explicit reviewed spelling/name variant
Waldez Góes,person-0dd4119dea52,Waldez Góes,canonical observed form
Wallace Nunes da Silva,person-wallace-nunes-da-silva,Wallace Nunes da Silva,Completion source-specific canonical name; source spelling retained in original assertions
Walter Braga Netto,person-0b9c7bbdb3fe,Walter Braga Netto,canonical observed form
Walter Souza Braga Netto,person-0b9c7bbdb3fe,Walter Braga Netto,explicit reviewed spelling/name variant
Welington Coimbra (Lelo Coimbra),person-welington-coimbra,Welington Coimbra (Lelo Coimbra),Completion source-specific canonical name; source spelling retained in original assertions
Wellington César Lima e Silva,person-84d03af199f4,Wellington César Lima e Silva,canonical observed form
Wellington Dias,person-c0ab45f1955b,Wellington Dias,canonical observed form
Wolney Queiroz,person-038c1ba175f1,Wolney Queiroz,canonical observed form
