affiliation_id,person_id,start_inclusive,end_exclusive,state,party_id,support,date_status,date_earliest,date_latest,alternatives,evidence_ids,decision_ids
affiliation-23117927af6d,person-e4833e3cf7cd,2023-01-01,2026-03-20,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-8ccea40b6f1d,PERSON-CONTINUITY-REVIEW
affiliation-23c362e943ca,person-bb7b68961b8f,2022-11-01,2023-01-01,PARTY,PSB,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],OFF-033;OFF-034,PERSON-CONTINUITY-REVIEW
affiliation-252c2cfa75af,person-d2cfce9d7579,2018-04-06,2019-01-01,PARTY,PV,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],OFF-015;OFF-017;ATLAS-590,PERSON-CONTINUITY-REVIEW;R08
affiliation-25ce9907d287,person-f0fb19bbf4c2,2023-01-01,2026-03-20,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-3b78d99c4156,PERSON-CONTINUITY-REVIEW
affiliation-25d6775c96e2,person-b641d5449471,2018-04-06,2019-01-01,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-8e386223a64d,PERSON-CONTINUITY-REVIEW
affiliation-2695219a6106,person-d1c3d895582d,2015-10-05,2016-05-12,PARTY,PCdoB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C032;LEG-bada6905fc7f,C032;PERSON-CONTINUITY-REVIEW
affiliation-270df0f8e42e,person-ab2d74d8fcaf,2015-01-01,2015-10-05,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C024;LEG-92ed8875155b,C024;PERSON-CONTINUITY-REVIEW
affiliation-28a1f589ea28,person-a74198f91d7f,2020-02-18,2021-02-12,PARTY,DEM,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-2652bfa0305c,PERSON-CONTINUITY-REVIEW;R30
affiliation-29b39d7f6cbc,person-ca40dc0291e1,2015-01-01,2016-03-03,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-8f31809fa406,PERSON-CONTINUITY-REVIEW
affiliation-2a1e5c789d5e,person-43d3df106f94,2017-02-03,2017-11-30,PARTY,PSDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-9d878ec47da4,PERSON-CONTINUITY-REVIEW
affiliation-2a89a85cf823,person-27563f8cf17b,2016-05-12,2017-11-13,PARTY,PSDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-24485aa54403,PERSON-CONTINUITY-REVIEW
affiliation-2b3c0586acbe,person-74eb6ba4197c,2019-01-01,2022-05-11,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-68fffc6a2b22,PERSON-CONTINUITY-REVIEW
affiliation-2c14403e141f,person-43d3df106f94,2017-11-30,2018-02-20,PARTY,PSDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-607;C040,C040;PERSON-CONTINUITY-REVIEW
affiliation-2c211f0d3d26,person-95ad6fa20856,2016-05-12,2019-01-01,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-839c037f9735,PERSON-CONTINUITY-REVIEW
affiliation-2d168441b52e,person-6fc90e9e6006,2022-03-31,2023-01-01,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-6e56717fdb65,PERSON-CONTINUITY-REVIEW
affiliation-2d705156fbfc,person-6384d7c259dc,2020-06-25,2020-06-30,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-06b899630a6b,PERSON-CONTINUITY-REVIEW
affiliation-2e45b1403cc5,person-85a79785a4b2,2016-05-12,2016-09-09,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-7d94ee1b94f6,PERSON-CONTINUITY-REVIEW
affiliation-2e5a9f3d642a,person-4b3c84ef1e38,2016-03-17,2016-03-31,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-90f1b4fb4472,PERSON-CONTINUITY-REVIEW
affiliation-30498ddd5bfa,person-16ea0c2b585a,2015-01-01,2015-04-16,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-858a83513dbd,PERSON-CONTINUITY-REVIEW
affiliation-30697884737b,person-4a62f5bd6174,2015-10-05,2016-03-31,PARTY,MDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-524,PERSON-CONTINUITY-REVIEW
affiliation-32075f7875e5,person-69112e380c0b,2016-04-19,2016-05-12,PARTY,PT,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-533,PERSON-CONTINUITY-REVIEW
affiliation-32357545734c,person-c505ea49abf6,2023-01-01,2023-09-13,PARTY,PSB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-d183433abf9b,PERSON-CONTINUITY-REVIEW
affiliation-32ce62e2a7e9,person-5ade68870caa,2026-01-09,2026-01-15,UNAFFILIATED,,reviewed_historical_observation_and_continuity,adjudicated_continuity,,,[],C004,C004;PERSON-CONTINUITY-REVIEW
affiliation-33e0643beee0,person-cdcfeb36ce97,2023-01-01,2026-03-20,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-49030b7594f1,PERSON-CONTINUITY-REVIEW
affiliation-35e1570fff93,person-ae882a0b01e7,2015-01-01,2015-10-05,PARTY,PSD,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C024;LEG-ea956fb419a3,C024;PERSON-CONTINUITY-REVIEW
affiliation-369b3a1eac9a,person-fd6d27c2b524,2022-02-08,2022-03-27,PARTY,UNIAO,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-012;AFF-044;BOL-E10;BOL-E22,PERSON-CONTINUITY-REVIEW;R14
affiliation-3788fbf471f6,person-9b5ce7be473f,2016-04-22,2016-05-12,UNAFFILIATED,,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-580,PERSON-CONTINUITY-REVIEW
affiliation-394fa934582e,person-c662b71943eb,2016-05-12,2016-11-25,PARTY,MDB,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],OFF-003;OFF-012;OFF-013,PERSON-CONTINUITY-REVIEW
affiliation-39707084a306,person-0c933c9fd291,2015-01-01,2016-05-12,PARTY,PSD,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-79221ce8a4c6,PERSON-CONTINUITY-REVIEW;R04
affiliation-398de098c7cd,person-5d5c6255c599,2016-05-12,2016-06-17,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C045;LEG-0ac27f4dceb2,C045;PERSON-CONTINUITY-REVIEW
affiliation-3a6107bc4318,person-6e95055d8cff,2021-03-30,2021-04-06,UNAFFILIATED,,dated assertion plus targeted-search continuity,adjudicated_conflict_resolution,,,[],AFF-017;AFF-018;AFF-019;OFF-051,PERSON-CONTINUITY-REVIEW;R19
affiliation-3abb361cc0b0,person-5197b843a7c6,2021-08-06,2023-01-01,UNAFFILIATED,,adjudicated_explicit_historical_compilation,adjudicated_continuity,,,[],C014,C014;PERSON-CONTINUITY-REVIEW
affiliation-3ac2b844c253,person-a0d1dbbd1239,2015-01-01,2015-02-05,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-165ae748c303,PERSON-CONTINUITY-REVIEW
affiliation-3b75f0d560cb,person-f98100adea6c,2016-05-12,2016-05-30,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-2f2c95a35e85,PERSON-CONTINUITY-REVIEW
affiliation-3bdeb15692eb,person-ec79bc7d93e1,2017-11-22,2018-03-14,UNAFFILIATED,,evidence_supported_continuity,supported_date,,,[],AFF-002,PERSON-CONTINUITY-REVIEW
affiliation-3c864edbf9c2,person-0b9c7bbdb3fe,2020-02-18,2021-03-29,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C049;LEG-62197e617b7c,C049;PERSON-CONTINUITY-REVIEW
affiliation-3d8eb9706bec,person-ec79bc7d93e1,2018-03-14,2019-01-01,PARTY,PP,evidence_supported_continuity,supported_date,,,[],AFF-002,PERSON-CONTINUITY-REVIEW
affiliation-3e99f909d3bf,person-0c933c9fd291,2016-05-12,2019-01-01,PARTY,PSD,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-9c027191b36e,PERSON-CONTINUITY-REVIEW;R04
affiliation-3fe827923a90,person-03e5816de50d,2015-01-01,2016-04-29,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-b3f068a0416e,PERSON-CONTINUITY-REVIEW
affiliation-425de9b86c8c,person-57a1c7594de5,2018-04-02,2019-01-01,PARTY,PP,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-38ee851b91b5,PERSON-CONTINUITY-REVIEW;R03
affiliation-4489ca399bcf,person-4b3c84ef1e38,2016-03-31,2016-04-18,PARTY,MDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-553,PERSON-CONTINUITY-REVIEW
affiliation-44ba3dbfd202,person-6e11e60e71b7,2016-05-12,2018-04-02,PARTY,PL,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-149db8d513f8,PERSON-CONTINUITY-REVIEW;R05
affiliation-462c7a44cd52,person-8ce936917da4,2023-09-13,2026-03-20,PARTY,REPUBLICANOS,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-71a45c6619da,PERSON-CONTINUITY-REVIEW
affiliation-477914b72f6e,person-c5ac8c46fc68,2018-04-06,2018-04-10,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-fbbfb4d9d59f,PERSON-CONTINUITY-REVIEW
affiliation-47d73aaf6f1d,person-ffd279a48828,2016-04-14,2016-05-12,UNAFFILIATED,,adjudicated_explicit_historical_compilation,adjudicated_continuity,,,[],C016,C016;PERSON-CONTINUITY-REVIEW
affiliation-484b12eea4d6,person-8c343d996b0d,2016-05-23,2018-04-06,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C052;LEG-e96dc186b8a7,C052;PERSON-CONTINUITY-REVIEW
affiliation-49705e8c67b1,person-561613fe4a6e,2022-12-21,2023-01-01,UNKNOWN,,"Telebras 57th eligibility committee minutes of February 11 2022 review her Form C signed December 14 2021 and state that requirements/impediments were answered yes/no. Those are fiscal-council eligibility assertions, not an explicit personal non-affiliation declaration. The original proposal and 283rd board assessment address credentials and eligibility. No named personal party or universal non-affiliation observation is established. Prior PSD byline, Fabio Faria employment, and scoped registry non-matches remain insufficient; retain UNKNOWN.",unresolved_personal_affiliation,,,[],V5W5E003,PERSON-CONTINUITY-REVIEW;V5W5D003
affiliation-4a283cc0a199,person-e545719de661,2023-01-01,2026-03-20,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-ebab6522a877,PERSON-CONTINUITY-REVIEW
affiliation-4a320856a00d,person-1bf1b217be4a,2019-01-01,2020-04-24,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-87ae07a227bd,PERSON-CONTINUITY-REVIEW
affiliation-4a6d9a51bac5,person-d35d6f9df7cc,2017-12-29,2018-01-01,PARTY,PTB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-574,PERSON-CONTINUITY-REVIEW;R06
affiliation-4b873e91cdd8,person-15675a9ecd53,2015-10-05,2016-05-12,PARTY,PT,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-542,PERSON-CONTINUITY-REVIEW
affiliation-4b9ed27b1ca1,person-467237911319,2023-01-01,2026-03-20,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-026719312f03,PERSON-CONTINUITY-REVIEW
affiliation-4cdc01dd2bee,person-30bed103385a,2017-05-31,2019-01-01,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-fc6bc5c9fcd6,PERSON-CONTINUITY-REVIEW
affiliation-4d1f83056735,person-0da4a679c59d,2023-01-01,2024-02-01,PARTY,PSB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-a4d9f014f208,PERSON-CONTINUITY-REVIEW
affiliation-50f19c1ba2fb,person-6e58f0606af5,2017-05-31,2018-07-11,UNAFFILIATED,,adjudicated_explicit_historical_compilation,adjudicated_continuity,,,[],C015,C015;PERSON-CONTINUITY-REVIEW
affiliation-518560e30e49,person-2f002dc5bdc9,2015-01-01,2016-05-12,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-d2f12b350683,PERSON-CONTINUITY-REVIEW
affiliation-51cf0912575d,person-40f3a2e695f4,2019-01-01,2023-01-01,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-24bdcc54c414,PERSON-CONTINUITY-REVIEW
affiliation-522bab7d8ba8,person-40b55dc0bb6c,2018-04-10,2019-01-01,UNAFFILIATED,,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-599,PERSON-CONTINUITY-REVIEW
affiliation-525428b40767,person-4597724356b9,2016-05-12,2017-12-29,PARTY,PTB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-9fcbb2439062,PERSON-CONTINUITY-REVIEW;R06
