path,artifact_type,description,rows,columns,sha256
latex/table_accounting_focal_cases.tex,latex,Generated compact sign-and-magnitude table for selected focal accounting vectors.,6,68,fc5ca04b864d8ae4a5d235e42a14f6166ac358b48e3a676c721cbdc7f67d5e60
latex/table_accounting_gross_components.tex,latex,Generated gross-component concentration appendix table.,24,29,cd6548e7456d7b732b145eafd24872ad1af89c9fe509a2eb207f2745e07f4f71
latex/table_accounting_minimal_ideological.tex,latex,Generated portrait tabular for all endpoint-minimal ideological decompositions.,7,68,d4a61439843ac7d4a507dcc973433c1161b896bba483108449ab721c8b736663
latex/table_accounting_minimal_ideological_all_parties.tex,latex,All-party sensitivity: exact-connected minimal inversion decomposition.,6,68,db93b4d5eaa99361ec736b3b9f73bd856da8f33773868c98a24bbe4046a5dcb5
latex/table_accounting_selected_party_geography.tex,latex,Generated selected-party geography appendix table.,17,28,f16639a57edb9a9057df449e5106a89a6f1c67c03410b34142fd53190a28ce5e
latex/table_cabinet_district_concentration.tex,latex,Generated cabinet within-district concentration tabular.,2,14,cdcfd5a399c1487269188056544971d304db3a0868228b84d60cdd43f47c3832
latex/table_coalition_party_component_extremes.tex,latex,Generated appendix table of largest member-party within- and between-district contributions.,9,34,34858124adf5b2ac75c4cfbf42e05fe5ce784f8d886680821366067289a90b65
latex/table_coalition_party_contributions.tex,latex,Generated appendix table of focal coalition-party contribution diagnostics.,9,55,13d436d0783d60d7d8d61f6dcf60af7f1c8918b875ea5e91c2f26efa1f7cb5db
latex/table_inversion_party_contribution_extremes.tex,latex,Compact manuscript table of party contribution extremes.,2,6,dab1bc984cce1e2e8a78ac88feae9a70734402fa2f91a92e3b623cc639986a72
latex/table_observed_inversion_decomposition.tex,latex,Portrait manuscript tabularx for all observed cabinet inversions and their accounting components.,2,9,44ddaf93263b7303598782091b2f02cff7757ce43e96b518a507c669cc884e34
raw/accounting_all_inversion_decomposition.csv,raw,Exact-audited accounting totals for all registered inversion cases.,14,68,818907d18d1684ddc2e709714834de2b449a2c153508bf0dfb5c90ccc6c560f9
raw/accounting_focal_case_decomposition.csv,raw,Selected focal cabinet and ideological accounting vectors.,6,68,c6aaf543a6d5cc831805d924dd70ccdab43350aaa83ae2dfecd6378e7c75e58f
raw/accounting_focal_party_contributions.csv,raw,Complete member-party vectors for the selected focal cases.,60,51,88da0d41fdbfd84d534992f8e5468d53193676faf7ba5df645a0e0d7d43befc8
raw/accounting_focal_party_state_contributions.csv,raw,Complete member-party-by-state cells for the selected focal cases.,1620,54,b00e141963fce60f5817b2988f7bad4c93c24b5a0ae0408ceca8f8b8302e6c4f
raw/accounting_focal_state_contributions.csv,raw,Complete 27-state vectors for the selected focal cases.,162,50,3f1a5580bf3276242a928ae766bec5a31204be19006baeaccc31006ed4bb4974
raw/accounting_gross_component_concentration.csv,raw,"Gross positive, negative, cancellation, and concentration diagnostics.",36,29,aa2af9d7d983556b23bfdbb47821bc20adc4da6ca1b0574dad72bcc0680e19c7
raw/accounting_minimal_ideological_decomposition.csv,raw,All primary minimal connected ideological inversion decompositions.,7,68,ffca4ebf847f47a4902423a2c30fdbd3b4476dce3effefc4e17b32ef20c33a31
raw/accounting_selected_party_geography.csv,raw,Selected party differentials and state-level accounting geography.,17,28,c1d40ee863e7cb3dfdbc84e61b242928dd72aac411d4eb431b20e4a43770aa70
raw/cabinet_party_set_accounting.csv,raw,Party-size diagnostic: cabinet_sets; descriptive accounting only.,35,81,3df76c16ff77a6d9e3f43b941d9959402c274fec3483b361d3fb56b89ad0aa52
raw/cabinet_party_set_district_contributions.csv,raw,One cabinet-set/member or cabinet-set/district vector; occurrence linkage is separate.,945,19,fd3283c5b4bf5d104697f2ce989c0a07640496c37f0c89e2618bcb54b3043c00
raw/cabinet_party_set_party_contributions.csv,raw,One cabinet-set/member or cabinet-set/district vector; occurrence linkage is separate.,236,24,843120257628b4cee92a4b7fd448ce1cfbca1a4bbc84b831a320c4ea0b74a5be
raw/cabinet_party_set_period_linkage.csv,raw,Party-size diagnostic: period_linkage; descriptive accounting only.,53,16,d37a670563a7abf2625574f481ff969add6eb6f9ef0aec80053f69277742d81b
raw/coalition_party_contribution_named_aggregates.csv,raw,Named exact party aggregation used for the PP-PL substantive diagnostic.,1,12,575d9cb360175f1ba7b62c9c32731a3b428c1f1bb90ad4d86ccb1266f1d22a19
raw/coalition_party_contribution_summary.csv,raw,"Case-level gross, net, concentration, and top-two party contribution diagnostics.",14,53,bb97bb9b664b9c342e3987de8b06632bd1e70f3978a97887fca7a7871622292f
raw/coalition_party_contributions.csv,raw,Canonical complete case-party contribution vectors for all cabinet and ideological inversions.,162,50,99097834a0479b27c03c636155097b82469a94263fc073a85fcc43c118ca8a4c
raw/coalition_period_quantities.csv,raw,Release-derived coalition quantities for every observed cabinet period.,53,25,9723a30cb55371fe061bf087fff7f0487ec228d5dfd8cd8dc1bf1a1b1d28c5aa
raw/district_accounting_all_years.csv,raw,Existing district accounting weights and closure.,81,16,0c3e9df74ddd6e2006a8e37cd0fca51b1361dd06e36e0990fcb4f5cb6dc6d2c1
raw/inversion_decomposition.csv,raw,Exact-audited A_C/B_C decomposition for all observed inversions.,2,24,6cf04ba1a03ef35776ee8bb36c237d98e4a37a45f8523886240a945bd01cb9d4
raw/inversion_district_contributions.csv,raw,State-level a_Cd and b_Cd contributions for all observed inversions.,54,18,7c183e03000e286e2cc8099b2b36dabfd74376aa6126c161a7e01fe234f51887
raw/inversion_party_contributions.csv,raw,"Full party-level d_i, A_i, and B_i vectors for all observed inversions.",16,23,88b2f5fd0d0894ae7f706faf791315cdf21f7c4b1c521720ce07a9ccf75dbaa1
raw/party_accounting_all_years.csv,raw,"Exact national party accounting, normalized components and cabinet participation.",99,33,0111ae939d5f4efdab909bb3656a0a875c116e654707a3cc49d59336c77389fd
raw/party_district_accounting_all_years.csv,raw,Complete existing party-district accounting panel.,2673,38,b496b486f58729996f0ec12e3e1b76c10dd1714d81b81a4204e0a47c6d6c73d1
tables/prose_analysis_summaries.csv,table,Raw aggregates from existing analysis CSVs; summary/metric/aggregation/universe/k/election keys and upstream selections. No TeX or display values.,144,12,bed65bde106b7ea4b1c3c8196de69e94083be20d25ca0b49074c9d909268b6e6
tables/report/party_fragmentation_summary.csv,table,Effective electoral and parliamentary party counts from the exact national party panel.,3,5,31fbaa1f8694713df15d92514d9b36d354e85dcde8e1eaf889c5ef88576b38a2
tables/report/party_size_cabinet_summary.csv,table,Party-size diagnostic: cabinet_size; descriptive accounting only.,8,10,45883f728364aca7d58ca03660b8022b7185f3453c7d285e9b87dfdb240ae325
tables/report/party_size_correlations.csv,table,Party-size diagnostic: correlations; descriptive accounting only.,4,7,abf6bf466beee43fac59c4552e380d06fe4efd77a40c8a839250bb6688ca5332
tables/report/party_size_groups.csv,table,Party-size diagnostic: size_groups; descriptive accounting only.,16,13,0ee03a2722a0a6f09180698efcaac9b6a53f371433570129fb482be0729afbda
tables/table_accounting_focal_cases.csv,table,Manuscript table source for selected focal accounting vectors.,6,68,c6aaf543a6d5cc831805d924dd70ccdab43350aaa83ae2dfecd6378e7c75e58f
tables/table_accounting_gross_components.csv,table,Appendix table source for gross focal accounting components.,24,29,f4c40c588352803d735e792bf7e2693052272764c034474d507ba55dab453f74
tables/table_accounting_minimal_ideological.csv,table,Manuscript table source for all endpoint-minimal ideological decompositions.,7,68,ffca4ebf847f47a4902423a2c30fdbd3b4476dce3effefc4e17b32ef20c33a31
tables/table_accounting_selected_party_geography.csv,table,Appendix table source for selected party state geography.,17,28,c1d40ee863e7cb3dfdbc84e61b242928dd72aac411d4eb431b20e4a43770aa70
tables/table_cabinet_district_concentration.csv,table,Exact district concentration for inverted cabinet vectors; shared table/prose source.,2,14,71f9a8959928e30e1831aa809f6f9b571ceae8774c25a1b47198187fb36374ea
tables/table_coalition_party_component_extremes.csv,table,Largest signed member-party A_i/B_i contributions for the existing focal appendix cases.,9,34,b5939dc4215c04e715c7eaf80198112655e7511ae029bb082051dbb74c1eaa28
tables/table_coalition_party_contributions.csv,table,Appendix table source for selected focal coalition-party contribution vectors.,9,55,1c60dd8d9331d2df9e8f709b93c435d9e1d09e737acd1511e32ef24a4351d998
tables/table_inversion_party_contribution_extremes.csv,table,Largest positive and negative party accounting contributions by inversion.,2,8,2a9c73858b0a3c0c020b61259cf5dfa39c072465a8e5b82426ce494ee4593cb3
tables/table_observed_inversion_decomposition.csv,table,Manuscript summary of coalition quantities and decomposition components.,2,24,6cf04ba1a03ef35776ee8bb36c237d98e4a37a45f8523886240a945bd01cb9d4
