period,start_date,end_date,start_inclusive,end_exclusive,minister,office,person_id,canonical_party_at_date,affiliation_state,composition_status,service_id,affiliation_id,witness_id,evidence_ids,decision_ids,notes,data_version,release_metadata_sha256
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Cid Gomes,Ministério da Educação,person-5fd0956c528c,PROS,PARTY,primary_adjudicated,service-dilma_rousseff-1-39,affiliation-046ac4ccc1d3,e05994e8e25507e7731a,LEG-8702e7355c32,PERSON-CONTINUITY-REVIEW;R01,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Guilherme Afif Domingos,Secretaria da Micro e Pequena Empresa,person-ae882a0b01e7,PSD,PARTY,primary_adjudicated,service-dilma_rousseff-1-55,affiliation-35e1570fff93,4837e82521297990af15,C024;LEG-ea956fb419a3,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Gilberto Kassab,Ministério das Cidades,person-0c933c9fd291,PSD,PARTY,primary_adjudicated,service-dilma_rousseff-1-19,affiliation-39707084a306,f9f7433b9f71b24a0b3b,LEG-79221ce8a4c6,PERSON-CONTINUITY-REVIEW;R04,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Jaques Wagner,Ministério da Defesa,person-9e9d2c2a173e,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-29,affiliation-8853da98c38a,1ef7fd1957ecefc1b449,C024;C032;LEG-8fea2cf59c34;LEG-d44eb314acd9,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Aloizio Mercadante,Casa Civil,person-052252ad8b69,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-12,affiliation-d0f4c906643d,326381051fce82132f95,C024;C032;LEG-85841e849f8e;LEG-d255b4dea116,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Ideli Salvatti,Secretaria de Direitos Humanos,person-8dc226f411d7,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-36,affiliation-a2d9361f450f,3adfc9b40fa6c534db22,LEG-d13b06a2d6ea,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Miguel Rossetto,Secretaria-Geral da Presidência,person-3b1d01f95a61,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-70,affiliation-813232b2bc21,41055ad62e3b450df97a,C024;C032;LEG-06075cf8fce5;LEG-8670a70acb8c,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,José Eduardo Cardozo,Ministério da Justiça,person-ca40dc0291e1,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-51,affiliation-29b39d7f6cbc,50224072a8ba8ecbb1dd,LEG-8f31809fa406,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Pepe Vargas,Secretaria de Relações Institucionais,person-a4e239dfc327,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-67,affiliation-cb70210091eb,56947df717e3123771b0,LEG-7fd64bd02e06,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Juca Ferreira,Ministério da Cultura,person-e97a73d54d22,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-28,affiliation-7dc2db2ea744,6dfeaf9124e07a3a9beb,LEG-e0ac31b0f981,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Ricardo Berzoini,Ministério das Comunicações,person-15675a9ecd53,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-23,affiliation-7af3673c6018,95a067be5b08c99ad398,C024;C032;LEG-a0ba08a78c10;LEG-fc4f25515b67,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Carlos Eduardo Gabas,Ministério da Previdência Social,person-03e5816de50d,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-65,affiliation-3fe827923a90,99a946096dec167a03a0,C024;LEG-b3f068a0416e,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Arthur Chioro,Ministério da Saúde,person-b178a128a47e,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-68,affiliation-72fe9140fcd2,a93c731ac293ed870cf5,C024;LEG-03d0c552eee1,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Eleonora Menicucci,Secretaria de Políticas para as Mulheres,person-ab2d74d8fcaf,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-61,affiliation-270df0f8e42e,ce57a1b75ed46c8d45ac,C024;LEG-92ed8875155b,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Patrus Ananias,Ministério do Desenvolvimento Agrário,person-90757367fdcf,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-31,affiliation-893e7cb6ee58,f144620b6048c5184bbf,LEG-9fb226a0f1d8,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Tereza Campello,Ministério do Desenvolvimento Social e Combate à Fome,person-06d7d8eceb28,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-35,affiliation-e4422f7ef01f,f718500c4dbf98ce7848,LEG-af4dca441a45,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Armando Monteiro,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",person-6e762df38945,PTB,PARTY,primary_adjudicated,service-dilma_rousseff-1-34,affiliation-a4eb3d8313a7,10d5536f8bca455260a0,LEG-ba4b75fca9f5,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,George Hilton,Ministério do Esporte,person-36c135f51965,REPUBLICANOS,PARTY,primary_adjudicated,service-dilma_rousseff-1-43,affiliation-1e430540f85f,2a16e5c5ea5ea67bae45,AFF-001;LEG-16d934587913,PERSON-CONTINUITY-REVIEW;R02,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Helder Barbalho,Ministério da Pesca e Aquicultura,person-69c3d0fe4619,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-58,affiliation-d5b00c2a9cef,036862823e95de71b074,C024;C032;LEG-1591c82663db;LEG-ed798dddc06b,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Roberto Mangabeira Unger,Secretaria de Assuntos Estratégicos,person-dbf349570fa7,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-5,affiliation-56398b55c5be,0a159ab6cf545e4ef29d,LEG-7076a873efe6,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Vinicius Lages,Ministério do Turismo,person-16ea0c2b585a,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-75,affiliation-30498ddd5bfa,35b6e86be0efe41030a2,LEG-858a83513dbd,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Eduardo Braga,Ministério de Minas e Energia,person-86b811c075f6,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-56,affiliation-71a21ce067a9,6eda8c1d26c0d4673b98,C009;LEG-328a5753236c,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",person-5139ef661a7d,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-3,affiliation-17b5cdf8e9ca,8a5d6cfd2be794443e2f,LEG-bbe559c76692,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Eliseu Padilha,Secretaria de Aviação Civil,person-2f002dc5bdc9,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-7,affiliation-518560e30e49,8bb1062b6dbddadcd754,C021;LEG-d2f12b350683,C021;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Edson Coelho Araújo,Secretaria Nacional dos Portos,person-bab2d25de60e,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-62,affiliation-7b274d41a3ea,c3d442b7fb9b7860aa2f,C024;LEG-7313721f7d0a,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Aldo Rebelo,"Ministério da Ciência, Tecnologia e Inovação",person-d1c3d895582d,PCdoB,PARTY,primary_adjudicated,service-dilma_rousseff-1-16,affiliation-e0a60b031086,a60a929aacd6555b8e8f,C024;LEG-9551d742d972,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Manoel Dias,Ministério do Trabalho e Emprego,person-3978546739e7,PDT,PARTY,primary_adjudicated,service-dilma_rousseff-1-72,affiliation-e21f6f6e3198,e50f3cd56b522b27cf2c,C024;LEG-8912d93c02b7,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Antonio Carlos Rodrigues,Ministério dos Transportes,person-38f714851a92,PL,PARTY,primary_adjudicated,service-dilma_rousseff-1-74,affiliation-c6da526a7bf3,5803ba39a86ddc1c8391,LEG-650019f21afb,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Gilberto Occhi,Ministério da Integração Nacional,person-57a1c7594de5,PP,PARTY,primary_adjudicated,service-dilma_rousseff-1-49,affiliation-eb8404d6b3ec,3952d1942fc181396f02,LEG-3df9b9d5037a,PERSON-CONTINUITY-REVIEW;R03,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Cid Gomes,Ministério da Educação,person-5fd0956c528c,PROS,PARTY,primary_adjudicated,service-dilma_rousseff-1-39,affiliation-046ac4ccc1d3,38b0bba67f11dceaa4bf,LEG-8702e7355c32,PERSON-CONTINUITY-REVIEW;R01,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Guilherme Afif Domingos,Secretaria da Micro e Pequena Empresa,person-ae882a0b01e7,PSD,PARTY,primary_adjudicated,service-dilma_rousseff-1-55,affiliation-35e1570fff93,07c46ff6021c8af25e29,C024;LEG-ea956fb419a3,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Gilberto Kassab,Ministério das Cidades,person-0c933c9fd291,PSD,PARTY,primary_adjudicated,service-dilma_rousseff-1-19,affiliation-39707084a306,6128b610a6b65a7b127b,LEG-79221ce8a4c6,PERSON-CONTINUITY-REVIEW;R04,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Jaques Wagner,Ministério da Defesa,person-9e9d2c2a173e,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-29,affiliation-8853da98c38a,0c4e19b150d25f18cd0c,C024;C032;LEG-8fea2cf59c34;LEG-d44eb314acd9,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Carlos Eduardo Gabas,Ministério da Previdência Social,person-03e5816de50d,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-65,affiliation-3fe827923a90,11ebb70d3302367f385b,C024;LEG-b3f068a0416e,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,José Eduardo Cardozo,Ministério da Justiça,person-ca40dc0291e1,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-51,affiliation-29b39d7f6cbc,33236c0e437f536480b6,LEG-8f31809fa406,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Eleonora Menicucci,Secretaria de Políticas para as Mulheres,person-ab2d74d8fcaf,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-61,affiliation-270df0f8e42e,4eeb21c2543d245ace82,C024;LEG-92ed8875155b,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Juca Ferreira,Ministério da Cultura,person-e97a73d54d22,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-28,affiliation-7dc2db2ea744,6d7c8656cd2b795cef8e,LEG-e0ac31b0f981,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-02-05,2015-03-18,2015-02-05,2015-03-19,Ricardo Berzoini,Ministério das Comunicações,person-15675a9ecd53,PT,PARTY,primary_adjudicated,service-dilma_rousseff-1-23,affiliation-7af3673c6018,702855e34322ff533f68,C024;C032;LEG-a0ba08a78c10;LEG-fc4f25515b67,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
